activity_id,customer_id,activity_date,activity_type,amount
ACT0000065,CUST002272,2026-06-19 19:49:00,Savings Deposit,86.21
ACT0000066,CUST000459,2026-02-06 22:08:02,Savings Deposit,970.18
ACT0000067,CUST004379,2025-02-26 22:04:46,Credit Repayment,26.93
ACT0000068,CUST004299,2025-03-02 12:11:38,Credit Repayment,258.32
ACT0000069,CUST002135,2026-03-11 12:43:49,Savings Deposit,17.33
ACT0000070,CUST005744,2026-01-16 01:40:58,Savings Deposit,192.4
ACT0000071,CUST004476,2025-03-23 18:39:46,Payment,210.85
ACT0000072,CUST000376,2025-11-20 21:55:21,Payment,349.46
ACT0000073,CUST011102,2026-02-03 17:12:17,Credit Repayment,390.55
ACT0000074,CUST005444,2026-02-09 23:08:24,Savings Deposit,76.63
ACT0000075,CUST007826,2026-03-30 08:18:54,Credit Repayment,106.97
ACT0000076,CUST008786,2026-01-17 06:20:48,Login,216.85
ACT0000077,CUST004960,2026-05-15 10:00:35,Payment,308.28
ACT0000078,CUST000008,2025-06-23 18:18:40,Credit Repayment,90.77
ACT0000079,CUST009952,2025-08-21 19:31:35,Login,246.21
ACT0000080,CUST003236,2025-10-04 10:15:00,Payment,132.78
ACT0000081,CUST004026,2025-02-07 15:22:15,Payment,14.11
ACT0000082,CUST008159,2025-10-20 14:55:14,Savings Deposit,330.67
ACT0000083,CUST000039,2025-05-29 20:46:24,Savings Deposit,43.95
ACT0000084,CUST001795,2025-10-27 12:35:27,Credit Repayment,14.55
ACT0000085,CUST000092,2026-06-28 12:34:11,Savings Deposit,179.89
ACT0000086,CUST002512,2025-03-24 11:59:06,Payment,6.26
ACT0000087,CUST007391,2025-04-12 03:19:50,Login,220.42
ACT0000088,CUST004502,2025-02-14 16:07:48,Application,4.75
ACT0000089,CUST008702,2026-05-04 21:52:54,Login,139.41
ACT0000090,CUST002976,2026-01-20 17:18:57,Application,71.71
ACT0000091,CUST003216,2025-11-04 20:58:56,Login,30.9
ACT0000092,CUST002021,2026-03-20 23:49:59,Credit Repayment,39.06
ACT0000093,CUST002221,2026-08-12 04:25:38,Payment,21.17
ACT0000094,CUST004291,2026-05-10 01:59:58,Payment,107.86
ACT0000095,CUST007703,2026-05-31 17:50:32,Payment,50.9
ACT0000096,CUST010185,2026-03-12 21:02:01,Login,84.79
ACT0000097,CUST005906,2025-08-13 20:28:26,Payment,79.01
ACT0000098,CUST007643,2026-01-09 10:06:16,Login,94.63
ACT0000099,CUST008274,2025-09-30 15:28:09,Savings Deposit,33.93
ACT0000100,CUST004057,2026-04-12 09:22:47,Login,54.14
ACT0000101,CUST002036,2025-07-18 05:09:00,Payment,78.61
ACT0000102,CUST005022,2026-03-28 05:16:08,Savings Withdrawal,124.23
ACT0000103,CUST010433,2025-01-08 07:04:03,Payment,213.79
ACT0000104,CUST002239,2025-08-29 03:40:03,Login,53.29
ACT0000105,CUST005055,2025-01-22 19:13:57,Payment,22.14
ACT0000106,CUST008036,2026-01-20 01:41:26,Login,380.59
ACT0000107,CUST011730,2026-05-07 06:52:27,Application,145.05
ACT0000108,CUST010070,2025-11-20 21:47:58,Payment,9.8
ACT0000109,CUST011734,2025-10-09 17:31:49,Savings Deposit,41.54
ACT0000110,CUST011923,2025-05-31 15:30:57,Savings Withdrawal,647.23
ACT0000111,CUST011986,2025-10-06 16:16:47,Payment,862.89
ACT0000112,CUST001200,2026-02-05 11:59:18,Credit Repayment,40.89
ACT0000113,CUST002090,2026-05-11 17:28:15,Application,35.46
ACT0000114,CUST010163,2025-03-15 16:12:50,Savings Deposit,242.4
ACT0000115,CUST005342,2025-04-28 22:35:37,Savings Deposit,16.16
ACT0000116,CUST010563,2025-02-01 17:09:31,Login,80.65
ACT0000117,CUST001539,2025-07-02 18:31:18,Login,60.3
ACT0000118,CUST007239,2026-07-19 11:54:13,Payment,106.53
ACT0000119,CUST005030,2026-06-09 06:49:32,Login,30.48
ACT0000120,CUST005285,2025-06-12 02:51:46,Credit Repayment,47.37
ACT0000121,CUST003624,2026-03-14 01:30:46,Savings Deposit,48.39
ACT0000122,CUST001076,2025-12-22 04:43:22,Payment,16.47
ACT0000123,CUST004750,2025-10-28 00:31:59,Payment,191.04
ACT0000124,CUST002156,2025-06-24 02:18:48,Savings Deposit,54.89
ACT0000125,CUST011254,2025-07-26 10:48:26,Payment,57.24
ACT0000126,CUST010649,2026-08-05 15:54:41,Payment,219.15
ACT0000127,CUST010470,2025-06-05 09:17:04,Credit Repayment,12.55
ACT0000128,CUST005523,2025-05-29 10:10:11,Payment,466.93
ACT0000129,CUST002072,2025-05-27 13:57:17,Login,30.78
ACT0000130,CUST006918,2025-09-15 06:11:29,Login,175.34
ACT0000131,CUST003446,2025-05-27 04:10:30,Payment,115.87
ACT0000132,CUST003261,2025-05-09 14:22:09,Payment,550.71
ACT0000133,CUST011862,2025-04-24 08:35:16,Payment,125.87
ACT0000134,CUST005896,2026-06-14 05:45:15,Credit Repayment,216.46
ACT0000135,CUST001125,2025-05-12 14:46:34,Application,4.93
ACT0000136,CUST011625,2025-02-04 18:06:10,Payment,83.73
ACT0000137,CUST001791,2025-08-07 05:26:03,Savings Withdrawal,52.71
ACT0000138,CUST004021,2026-05-18 04:16:46,Payment,24.61
ACT0000139,CUST005784,2025-07-24 18:37:42,Credit Repayment,20.01
ACT0000140,CUST002413,2026-08-09 22:18:53,Savings Deposit,9.87
ACT0000141,CUST010614,2025-01-18 06:21:23,Savings Deposit,59.45
ACT0000142,CUST001037,2026-01-17 17:12:32,Payment,18.25
ACT0000143,CUST001081,2025-06-15 10:17:36,Application,227.08
ACT0000144,CUST009604,2026-04-10 14:44:12,Savings Deposit,194.0
ACT0000145,CUST004987,2025-02-04 07:04:06,Credit Repayment,406.54
ACT0000146,CUST004879,2025-06-27 22:14:08,Login,27.62
ACT0000147,CUST002410,2026-04-16 07:16:05,Login,8.96
ACT0000148,CUST000747,2025-08-22 15:02:16,Credit Repayment,52.0
ACT0000149,CUST000566,2025-05-03 19:59:08,Credit Repayment,43.08
ACT0000150,CUST000600,2025-01-12 14:53:25,Credit Repayment,61.05
ACT0000151,CUST005421,2025-06-19 11:20:38,Login,136.19
ACT0000152,CUST003242,2026-03-12 23:02:35,Credit Repayment,24.22
ACT0000153,CUST009584,2026-05-10 04:00:38,Savings Withdrawal,260.71
ACT0000154,CUST009430,2025-10-29 11:27:56,Savings Withdrawal,23.35
ACT0000155,CUST007539,2026-01-05 18:04:55,Login,19.71
ACT0000156,CUST003056,2026-04-03 06:42:37,Savings Deposit,34.5
ACT0000157,CUST008945,2025-06-11 07:30:53,Savings Deposit,87.74
ACT0000158,CUST002716,2026-07-25 21:42:43,Savings Deposit,648.99
ACT0000159,CUST010081,2025-03-02 06:58:40,Savings Deposit,577.67
ACT0000160,CUST004665,2025-07-13 07:35:42,Credit Repayment,76.43
ACT0000161,CUST002880,2026-01-12 18:53:08,Application,33.21
ACT0000162,CUST008230,2025-01-07 05:38:07,Payment,111.26
ACT0000163,CUST010525,2026-03-05 16:11:53,Savings Deposit,52.31
ACT0000164,CUST006298,2025-04-11 21:33:33,Payment,15.1
ACT0000165,CUST002181,2025-07-23 20:30:56,Savings Deposit,131.76
ACT0000166,CUST007018,2025-03-20 04:55:41,Payment,27.1
ACT0000167,CUST010864,2026-04-23 16:37:00,Savings Withdrawal,180.97
ACT0000168,CUST008915,2025-04-08 15:10:40,Application,9.82
ACT0000169,CUST008181,2026-03-05 03:07:57,Payment,18.28
ACT0000170,CUST007174,2025-02-10 21:25:17,Payment,45.49
ACT0000171,CUST003811,2025-10-07 09:51:39,Savings Deposit,84.77
ACT0000172,CUST001343,2025-01-01 05:04:53,Login,100.8
ACT0000173,CUST006542,2025-01-22 12:16:50,Payment,163.06
ACT0000174,CUST010081,2026-06-04 02:37:13,Login,141.31
ACT0000175,CUST002544,2025-05-18 03:57:52,Payment,81.66
ACT0000176,CUST003830,2025-10-05 22:13:02,Credit Repayment,45.61
ACT0000177,CUST010147,2025-07-19 09:07:30,Application,41.82
ACT0000178,CUST000898,2026-03-04 09:29:35,Application,47.3
ACT0000179,CUST009373,2025-12-09 04:17:56,Savings Withdrawal,73.08
ACT0000180,CUST000257,2025-08-15 09:07:48,Payment,90.57
ACT0000181,CUST003673,2025-02-01 20:31:32,Payment,93.19
ACT0000182,CUST002718,2026-08-06 18:22:44,Payment,352.13
ACT0000183,CUST004022,2025-12-23 03:42:47,Credit Repayment,96.47
ACT0000184,CUST010096,2025-02-25 07:30:02,Credit Repayment,296.36
ACT0000185,CUST009188,2025-02-14 07:13:18,Application,69.54
ACT0000186,CUST002656,2025-03-25 19:07:56,Payment,1059.09
ACT0000187,CUST001854,2025-12-14 02:11:19,Savings Deposit,69.38
ACT0000188,CUST005052,2025-12-16 13:43:34,Credit Repayment,427.51
ACT0000189,CUST010270,2025-04-19 20:32:18,Savings Withdrawal,158.82
ACT0000190,CUST001269,2025-05-26 12:09:10,Login,38.54
ACT0000191,CUST001058,2026-07-07 07:07:33,Payment,28.92
ACT0000192,CUST000187,2025-07-19 20:47:52,Payment,57.35
ACT0000193,CUST008568,2025-12-23 00:03:14,Payment,61.26
ACT0000194,CUST004176,2026-01-08 17:10:28,Credit Repayment,9.04
ACT0000195,CUST008203,2025-05-08 18:32:46,Payment,140.01
ACT0000196,CUST002544,2026-06-18 08:38:57,Credit Repayment,53.35
ACT0000197,CUST000213,2026-02-21 10:55:54,Savings Deposit,70.66
ACT0000198,CUST009829,2025-02-07 20:59:03,Savings Deposit,24.7
ACT0000199,CUST007085,2025-05-07 04:55:21,Payment,203.69
ACT0000200,CUST008465,2025-11-22 11:44:29,Login,127.31
ACT0000201,CUST009329,2025-09-09 18:00:35,Login,129.61
ACT0000202,CUST006204,2025-02-25 09:01:08,Payment,26.41
ACT0000203,CUST009941,2026-03-03 02:37:03,Savings Deposit,41.13
ACT0000204,CUST000675,2026-03-05 18:46:49,Payment,210.45
ACT0000205,CUST006103,2026-03-25 01:37:48,Savings Deposit,48.13
ACT0000206,CUST010872,2025-11-01 08:44:14,Application,40.72
ACT0000207,CUST004723,2026-07-20 20:06:00,Login,29.4
ACT0000208,CUST007583,2026-07-09 18:57:57,Application,55.61
ACT0000209,CUST010798,2025-03-20 03:31:33,Login,228.18
ACT0000210,CUST005772,2026-05-06 02:11:29,Credit Repayment,724.67
ACT0000211,CUST011192,2026-05-07 06:23:23,Savings Withdrawal,44.14
ACT0000212,CUST002532,2025-03-12 19:23:24,Savings Deposit,446.72
ACT0000213,CUST001649,2025-05-31 09:40:35,Login,198.74
ACT0000214,CUST001415,2025-05-18 21:07:35,Payment,72.33
ACT0000215,CUST008128,2026-04-07 01:13:04,Savings Withdrawal,273.9
ACT0000216,CUST008411,2026-01-25 09:59:45,Login,135.17
ACT0000217,CUST000941,2025-09-30 17:48:37,Savings Deposit,59.37
ACT0000218,CUST002903,2025-09-13 14:51:22,Login,8.4
ACT0000219,CUST009585,2025-12-28 02:27:19,Payment,522.94
ACT0000220,CUST000356,2025-10-05 01:14:31,Credit Repayment,8.25
ACT0000221,CUST000983,2025-05-27 13:33:03,Application,329.62
ACT0000222,CUST011386,2026-06-27 19:48:40,Login,121.95
ACT0000223,CUST002724,2025-12-10 21:00:12,Savings Deposit,506.98
ACT0000224,CUST004849,2025-10-01 05:42:12,Payment,83.58
ACT0000225,CUST007543,2026-03-21 22:02:55,Credit Repayment,74.26
ACT0000226,CUST011361,2025-09-26 22:28:07,Login,72.96
ACT0000227,CUST009630,2026-02-21 02:27:05,Payment,47.6
ACT0000228,CUST008539,2025-02-06 22:49:56,Payment,151.96
ACT0000229,CUST010243,2025-08-13 22:37:02,Savings Withdrawal,17.12
ACT0000230,CUST010406,2026-04-16 09:03:11,Login,8.03
ACT0000231,CUST001291,2026-01-27 20:41:11,Savings Deposit,60.02
ACT0000232,CUST001711,2025-10-22 02:27:11,Credit Repayment,659.53
ACT0000233,CUST008077,2026-02-21 02:21:12,Credit Repayment,1146.99
ACT0000234,CUST007374,2026-05-04 07:33:08,Savings Deposit,245.72
ACT0000235,CUST004633,2025-04-19 02:02:23,Payment,210.55
ACT0000236,CUST006432,2026-08-21 19:33:23,Payment,64.45
ACT0000237,CUST003620,2026-01-25 04:27:31,Savings Deposit,170.06
ACT0000238,CUST001424,2026-02-15 23:39:01,Savings Deposit,70.43
ACT0000239,CUST003622,2025-05-26 02:17:03,Savings Deposit,165.87
ACT0000240,CUST000063,2025-08-24 00:59:16,Credit Repayment,114.31
ACT0000241,CUST002452,2025-09-09 05:18:57,Credit Repayment,258.2
ACT0000242,CUST004685,2025-08-07 14:35:50,Login,66.34
ACT0000243,CUST002983,2025-11-01 11:14:16,Application,31.75
ACT0000244,CUST009851,2026-07-03 12:34:28,Payment,12859.9
ACT0000245,CUST006311,2025-04-26 13:10:32,Payment,54.46
ACT0000246,CUST011822,2026-02-19 17:42:14,Savings Deposit,166.17
ACT0000247,CUST009111,2026-01-23 17:37:19,Savings Deposit,9.79
ACT0000248,CUST009915,2025-01-18 13:04:32,Login,158.3
ACT0000249,CUST001444,2025-07-11 17:20:47,Savings Deposit,99.4
ACT0000250,CUST006835,2025-09-21 19:36:08,Application,13.6
ACT0000251,CUST004319,2025-04-11 20:24:57,Payment,72.94
ACT0000252,CUST011965,2025-04-19 22:23:44,Login,236.28
ACT0000253,CUST002740,2025-05-10 17:42:44,Login,74.04
ACT0000254,CUST008933,2025-04-03 17:49:27,Savings Withdrawal,186.28
ACT0000255,CUST003330,2025-05-13 09:49:45,Credit Repayment,263.26
ACT0000256,CUST001881,2026-02-23 00:02:48,Savings Deposit,338.93
ACT0000257,CUST011789,2025-05-05 04:58:58,Login,147.08
ACT0000258,CUST011668,2025-05-10 20:47:12,Payment,14.01
ACT0000259,CUST009916,2025-04-27 20:52:51,Credit Repayment,31.98
ACT0000260,CUST011217,2025-09-04 05:39:53,Savings Deposit,116.6
ACT0000261,CUST001669,2026-04-09 13:04:48,Payment,277.8
ACT0000262,CUST010908,2025-03-10 02:37:56,Savings Deposit,26.29
ACT0000263,CUST011475,2025-09-29 03:17:12,Application,21.07
ACT0000264,CUST008621,2025-02-06 11:41:21,Application,228.92
ACT0000265,CUST005693,2025-10-07 04:18:35,Payment,54.82
ACT0000266,CUST009964,2025-10-30 12:06:28,Credit Repayment,42.44
ACT0000267,CUST011305,2025-11-02 14:14:30,Savings Deposit,84.95
ACT0000268,CUST011964,2025-06-23 21:33:05,Savings Withdrawal,266.92
ACT0000269,CUST001108,2025-12-07 20:14:12,Payment,308.67
ACT0000270,CUST000998,2025-10-14 10:45:38,Credit Repayment,32.23
ACT0000271,CUST003492,2025-03-02 02:04:11,Login,31.17
ACT0000272,CUST011890,2026-02-06 20:09:12,Application,20.64
ACT0000273,CUST004966,2026-01-22 21:53:09,Savings Withdrawal,237.75
ACT0000274,CUST007008,2026-03-26 03:39:26,Savings Deposit,502.09
ACT0000275,CUST009268,2025-01-16 12:05:40,Login,156.57
ACT0000276,CUST007841,2025-07-12 08:24:43,Payment,417.46
ACT0000277,CUST004696,2025-07-08 19:56:03,Login,72.25
ACT0000278,CUST002584,2026-05-15 16:17:27,Credit Repayment,258.22
ACT0000279,CUST002715,2025-02-25 03:26:54,Login,28.62
ACT0000280,CUST005320,2025-09-03 01:29:50,Application,190.8
ACT0000281,CUST006918,2025-03-09 22:38:00,Login,291.81
ACT0000282,CUST009802,2026-02-08 21:23:22,Login,386.8
ACT0000283,CUST011670,2026-05-24 05:37:06,Login,380.32
ACT0000284,CUST003525,2026-06-16 15:33:35,Payment,52.15
ACT0000285,CUST007721,2026-05-04 00:23:58,Payment,599.91
ACT0000286,CUST004078,2025-03-10 09:07:57,Login,335.02
ACT0000287,CUST004360,2025-05-23 23:48:39,Credit Repayment,23.67
ACT0000288,CUST006364,2026-08-08 19:43:23,Login,157.95
ACT0000289,CUST009018,2025-11-27 09:35:42,Credit Repayment,872.33
ACT0000290,CUST003049,2026-05-31 08:41:58,Payment,568.2
ACT0000291,CUST000482,2025-03-08 21:14:31,Credit Repayment,34.11
ACT0000292,CUST007212,2026-08-05 12:54:37,Payment,48.36
ACT0000293,CUST000683,2025-02-23 21:03:23,Login,149.7
ACT0000294,CUST011708,2026-08-30 01:31:38,Savings Withdrawal,16.46
ACT0000295,CUST002311,2026-06-24 18:57:06,Payment,14.97
ACT0000296,CUST005819,2025-08-20 16:02:00,Savings Deposit,65.81
ACT0000297,CUST004853,2025-11-26 01:34:11,Savings Deposit,573.34
ACT0000298,CUST010192,2026-07-27 03:23:48,Credit Repayment,59.97
ACT0000299,CUST009495,2025-12-04 19:28:42,Application,105.18
ACT0000300,CUST009911,2025-04-09 23:35:17,Credit Repayment,277.84
ACT0000301,CUST011088,2025-04-05 00:04:37,Savings Withdrawal,166.53
ACT0000302,CUST006247,2026-06-23 13:07:16,Credit Repayment,205.85
ACT0000303,CUST009390,2025-09-13 08:01:07,Savings Withdrawal,201.73
ACT0000304,CUST007630,2026-04-13 22:07:45,Credit Repayment,15.93
ACT0000305,CUST006631,2025-09-22 08:12:48,Login,13.9
ACT0000306,CUST003293,2026-02-14 23:24:12,Savings Deposit,7.32
ACT0000307,CUST009525,2026-03-28 01:50:45,Credit Repayment,1075.85
ACT0000308,CUST005470,2025-12-28 01:03:18,Savings Deposit,236.31
ACT0000309,CUST000231,2026-03-14 21:09:25,Payment,57.48
ACT0000310,CUST007271,2025-01-12 20:12:44,Login,121.99
ACT0000311,CUST009256,2025-09-17 15:03:19,Credit Repayment,146.6
ACT0000312,CUST002897,2026-01-20 06:04:02,Login,783.66
ACT0000313,CUST008119,2026-05-03 21:50:37,Login,83.14
ACT0000314,CUST010212,2026-07-06 05:39:24,Credit Repayment,14.77
ACT0000315,CUST004672,2025-05-26 17:01:02,Credit Repayment,145.96
ACT0000316,CUST008902,2026-01-12 12:52:50,Savings Deposit,77.25
ACT0000317,CUST004030,2025-05-04 22:08:46,Savings Withdrawal,576.77
ACT0000318,CUST010361,2025-04-12 13:13:55,Credit Repayment,27.19
ACT0000319,CUST003024,2025-05-14 14:38:53,Payment,14.66
ACT0000320,CUST001464,2026-02-28 15:39:38,Application,397.73
ACT0000321,CUST009576,2026-04-06 19:20:51,Payment,49.11
ACT0000322,CUST005579,2025-05-02 00:17:51,Application,170.09
ACT0000323,CUST001190,2025-04-08 01:16:18,Login,84.14
ACT0000324,CUST003615,2025-08-02 00:50:55,Savings Withdrawal,176.46
ACT0000325,CUST001788,2026-03-07 04:40:44,Login,315.45
ACT0000326,CUST001975,2025-10-05 03:14:30,Login,226.15
ACT0000327,CUST006960,2025-11-26 22:59:01,Payment,9.08
ACT0000328,CUST011332,2025-05-17 09:06:20,Application,24.25
ACT0000329,CUST005508,2026-06-13 23:02:57,Login,449.82
ACT0000330,CUST004035,2025-07-13 09:21:04,Savings Deposit,202.57
ACT0000331,CUST006440,2025-11-07 04:55:41,Login,45.3
ACT0000332,CUST004890,2026-03-20 03:18:15,Login,73.45
ACT0000333,CUST007261,2025-08-18 23:17:06,Application,29.52
ACT0000334,CUST010172,2025-05-04 10:38:58,Savings Deposit,196.23
ACT0000335,CUST009626,2025-06-17 02:26:10,Savings Deposit,57.26
ACT0000336,CUST011564,2025-12-07 20:10:56,Login,31.08
ACT0000337,CUST001189,2025-12-13 18:26:48,Savings Withdrawal,41.01
ACT0000338,CUST002654,2025-11-30 18:24:17,Login,56.69
ACT0000339,CUST011049,2025-03-02 05:46:10,Savings Withdrawal,29.74
ACT0000340,CUST004470,2026-07-23 11:44:36,Login,55.47
ACT0000341,CUST006485,2025-04-16 00:48:56,Application,65.04
ACT0000342,CUST001558,2025-09-18 09:01:55,Savings Deposit,12.19
ACT0000343,CUST011025,2026-04-07 14:53:57,Credit Repayment,26.05
ACT0000344,CUST011459,2025-03-27 05:24:39,Payment,295.01
ACT0000345,CUST006969,2026-08-05 06:24:56,Payment,70.76
ACT0000346,CUST008773,2025-11-06 07:19:41,Savings Withdrawal,356.61
ACT0000347,CUST005379,2025-08-13 19:51:12,Payment,237.11
ACT0000348,CUST000008,2026-05-26 01:53:13,Login,630.43
ACT0000349,CUST006863,2026-05-21 06:36:21,Login,27.41
ACT0000350,CUST004789,2026-08-22 19:48:44,Login,164.63
ACT0000351,CUST001382,2025-11-17 05:20:42,Application,131.81
ACT0000352,CUST000914,2025-10-04 01:19:40,Login,35.76
ACT0000353,CUST002930,2026-02-23 03:42:28,Application,52.62
ACT0000354,CUST008055,2025-12-26 23:02:58,Login,67.5
ACT0000355,CUST007161,2025-11-05 00:40:16,Payment,52.31
ACT0000356,CUST000443,2026-08-15 14:18:47,Payment,459.91
ACT0000357,CUST000324,2026-07-15 03:26:32,Payment,49.39
ACT0000358,CUST002091,2026-01-25 16:29:38,Application,607.97
ACT0000359,CUST004090,2025-06-05 10:27:27,Payment,115.71
ACT0000360,CUST001066,2026-01-12 12:38:17,Savings Deposit,301.75
ACT0000361,CUST005383,2025-10-04 05:49:11,Credit Repayment,163.23
ACT0000362,CUST005078,2025-12-26 13:17:13,Credit Repayment,25.6
ACT0000363,CUST006587,2026-08-30 20:01:33,Application,220.57
ACT0000364,CUST008650,2026-05-07 16:30:25,Savings Deposit,71.96
ACT0000365,CUST009193,2025-10-19 20:34:26,Savings Deposit,126.98
ACT0000366,CUST004286,2026-06-26 06:17:06,Savings Withdrawal,42.75
ACT0000367,CUST006100,2026-06-15 04:03:06,Login,14.5
ACT0000368,CUST001964,2025-07-28 19:22:06,Payment,79.49
ACT0000369,CUST003456,2025-07-01 03:46:01,Application,343.0
ACT0000370,CUST001695,2025-01-06 12:22:57,Payment,11.12
ACT0000371,CUST003939,2026-07-15 01:17:22,Login,320.09
ACT0000372,CUST001775,2026-03-31 23:29:55,Payment,26.28
ACT0000373,CUST011041,2026-06-09 20:32:54,Login,15.52
ACT0000374,CUST002609,2025-03-11 14:11:15,Credit Repayment,378.71
ACT0000375,CUST000325,2026-07-11 10:09:29,Payment,42.84
ACT0000376,CUST001261,2025-08-24 19:52:34,Savings Withdrawal,273.39
ACT0000377,CUST011509,2026-02-07 21:39:35,Login,53.98
ACT0000378,CUST011224,2026-06-11 19:11:18,Credit Repayment,703.47
ACT0000379,CUST005696,2026-08-02 03:48:21,Login,35.01
ACT0000380,CUST001538,2025-10-14 12:07:45,Savings Deposit,150.7
ACT0000381,CUST001602,2025-07-18 20:56:25,Savings Deposit,31.33
ACT0000382,CUST011962,2025-01-19 19:44:28,Savings Deposit,202.79
ACT0000383,CUST004728,2026-01-16 21:06:01,Login,287.62
ACT0000384,CUST007040,2025-05-19 20:02:09,Login,105.92
ACT0000385,CUST000008,2026-03-11 00:42:45,Login,261.99
ACT0000386,CUST006782,2026-06-16 05:56:31,Login,61.33
ACT0000387,CUST001559,2026-04-15 07:55:56,Credit Repayment,116.92
ACT0000388,CUST003426,2026-05-08 12:22:47,Savings Deposit,106.78
ACT0000389,CUST010495,2026-02-06 06:23:11,Application,10.25
ACT0000390,CUST004183,2026-07-11 11:44:11,Credit Repayment,62.27
ACT0000391,CUST006461,2026-06-24 21:55:37,Login,110.12
ACT0000392,CUST010698,2025-04-07 22:58:36,Credit Repayment,595.9
