account_id,customer_id,product_type,opened_date,status,balance
ACC0000080,CUST001753,Credit,2023-08-23 10:23:24,Active,922.46
ACC0000081,CUST010123,Payments,2023-10-02 23:32:53,Closed,497.18
ACC0000082,CUST003334,Payments,2026-04-20 17:32:39,Active,437.21
ACC0000083,CUST001099,Credit,2023-11-05 18:50:40,Active,1927.12
ACC0000084,CUST007725,Savings,2022-03-01 07:47:39,Active,272.81
ACC0000085,CUST001467,Credit,2022-01-24 07:16:15,Active,611.8
ACC0000086,CUST006826,Payments,2022-12-27 15:38:58,Active,183.22
ACC0000087,CUST000224,Credit,2023-03-20 20:22:57,Active,635.14
ACC0000088,CUST008886,Payments,2022-04-26 14:58:29,Active,129.73
ACC0000089,CUST001501,Credit,2025-02-27 13:20:14,Active,1187.74
ACC0000090,CUST008048,Credit,2026-05-02 12:01:33,Active,3206.57
ACC0000091,CUST009883,Credit,2023-09-22 20:58:43,Active,800.21
ACC0000092,CUST001167,Payments,2023-05-20 15:16:50,Active,1230.24
ACC0000093,CUST000456,Payments,2024-12-03 09:09:41,Active,444.6
ACC0000094,CUST010536,Payments,2024-05-31 17:57:28,Active,546.18
ACC0000095,CUST005583,Credit,2025-01-09 21:03:53,Active,1754.32
ACC0000096,CUST006068,Payments,2026-01-08 12:53:05,Active,421.31
ACC0000097,CUST002966,Savings,2026-07-10 09:29:52,Active,396.17
ACC0000098,CUST005707,Payments,2023-03-18 08:46:28,Active,118.93
ACC0000099,CUST009990,Savings,2023-12-22 08:56:56,Active,340.22
ACC0000100,CUST010128,Savings,2022-05-27 13:13:34,Active,560.89
ACC0000101,CUST009635,Payments,2024-09-25 12:53:11,Closed,190.88
ACC0000102,CUST003475,Savings,2023-05-31 15:17:24,Dormant,906.59
ACC0000103,CUST009192,Payments,2025-04-25 15:10:26,Active,1373.56
ACC0000104,CUST005399,Credit,2024-04-19 14:21:39,Active,443.07
ACC0000105,CUST004540,Credit,2025-02-14 15:21:11,Active,1019.2
ACC0000106,CUST003915,Payments,2024-03-22 06:21:29,Dormant,601.06
ACC0000107,CUST011108,Payments,2024-06-14 13:16:07,Active,4740.22
ACC0000108,CUST002079,Savings,2024-12-01 17:37:00,Active,176.64
ACC0000109,CUST010751,Credit,2025-09-01 21:51:48,Closed,2430.7
ACC0000110,CUST010946,Credit,2022-08-09 14:05:58,Active,1456.45
ACC0000111,CUST007810,Payments,2025-01-09 21:50:54,Closed,336.16
ACC0000112,CUST000318,Savings,2024-01-29 20:54:56,Active,955.03
ACC0000113,CUST007352,Payments,2025-02-02 10:41:09,Active,1283.53
ACC0000114,CUST001385,Payments,2025-01-05 01:57:42,Active,3332.44
ACC0000115,CUST004044,Credit,2023-04-28 08:12:53,Active,1336.38
ACC0000116,CUST000904,Credit,2024-01-26 11:02:35,Closed,173.64
ACC0000117,CUST008831,Payments,2025-08-31 01:00:15,Closed,1119.57
ACC0000118,CUST005806,Payments,2024-11-19 13:14:20,Active,2230.66
ACC0000119,CUST011262,Savings,2024-08-08 22:19:46,Active,8436.43
ACC0000120,CUST008204,Savings,2025-11-08 06:49:59,Active,440.98
ACC0000121,CUST003795,Savings,2025-11-25 23:20:06,Closed,6194.96
ACC0000122,CUST009301,Savings,2022-04-13 02:57:45,Closed,1207.0
ACC0000123,CUST003432,Savings,2022-09-23 00:46:49,Active,162.58
ACC0000124,CUST003229,Payments,2025-05-13 21:13:31,Active,5566.01
ACC0000125,CUST003163,Savings,2023-10-20 03:16:00,Active,454.42
ACC0000126,CUST008530,Savings,2026-07-22 18:22:55,Active,2493.06
ACC0000127,CUST011798,Savings,2025-03-27 18:07:31,Active,359.45
ACC0000128,CUST010246,Savings,2022-12-31 11:17:33,Active,3472.9
ACC0000129,CUST006484,Credit,2026-03-12 07:00:03,Active,1394.5
ACC0000130,CUST000127,Payments,2022-07-08 05:42:25,Active,550.4
ACC0000131,CUST011611,Payments,2026-01-01 02:51:00,Active,424.59
ACC0000132,CUST004602,Payments,2025-07-01 16:37:24,Active,516.1
ACC0000133,CUST007409,Savings,2024-10-27 10:08:20,Active,481.51
ACC0000134,CUST005081,Payments,2022-05-21 12:57:12,Active,193.36
ACC0000135,CUST003522,Savings,2025-05-29 19:52:08,Dormant,298.36
ACC0000136,CUST003640,Payments,2024-04-18 03:38:35,Active,8783.56
ACC0000137,CUST007037,Credit,2023-11-25 00:53:28,Closed,681.1
ACC0000138,CUST005155,Savings,2024-11-12 12:13:45,Active,1375.63
ACC0000139,CUST001866,Payments,2022-10-18 01:03:25,Active,565.37
ACC0000140,CUST004536,Payments,2024-12-12 00:43:20,Closed,3477.12
ACC0000141,CUST005378,Payments,2024-04-01 19:38:06,Active,2531.04
ACC0000142,CUST007508,Credit,2024-05-26 01:55:28,Active,600.07
ACC0000143,CUST005315,Credit,2026-05-30 15:34:12,Active,436.74
ACC0000144,CUST002341,Credit,2023-09-11 15:48:28,Closed,312.02
ACC0000145,CUST006919,Payments,2023-09-23 20:46:11,Dormant,449.0
ACC0000146,CUST010042,Credit,2025-12-03 21:39:13,Dormant,1882.85
ACC0000147,CUST004647,Payments,2024-06-10 16:36:48,Dormant,689.93
ACC0000148,CUST007609,Savings,2026-06-20 03:29:35,Active,437.96
ACC0000149,CUST005462,Savings,2026-05-10 21:56:12,Active,510.99
ACC0000150,CUST003569,Savings,2022-12-15 00:38:06,Active,3952.78
ACC0000151,CUST010514,Payments,2022-06-20 19:35:57,Active,628.42
ACC0000152,CUST011566,Payments,2022-11-16 19:55:22,Active,1839.46
ACC0000153,CUST002165,Credit,2025-10-06 21:41:28,Active,1481.07
ACC0000154,CUST007472,Savings,2024-11-12 01:13:58,Closed,1200.75
ACC0000155,CUST011072,Credit,2022-07-31 16:50:23,Active,602.89
ACC0000156,CUST006449,Savings,2023-08-11 10:38:29,Closed,4142.08
ACC0000157,CUST006463,Payments,2022-02-23 14:01:46,Active,1754.37
ACC0000158,CUST011516,Payments,2025-01-25 19:51:55,Active,890.49
ACC0000159,CUST007547,Savings,2025-12-05 10:23:02,Active,495.08
ACC0000160,CUST010187,Payments,2023-10-29 14:46:12,Active,458.42
ACC0000161,CUST001252,Payments,2025-06-05 10:56:55,Active,3770.51
ACC0000162,CUST007076,Payments,2024-05-11 09:57:29,Closed,2426.97
ACC0000163,CUST001744,Savings,2025-03-15 08:41:32,Active,7460.07
ACC0000164,CUST002447,Savings,2026-06-18 04:37:43,Active,1411.48
ACC0000165,CUST008791,Payments,2023-11-11 03:10:20,Closed,1918.62
ACC0000166,CUST010439,Credit,2024-02-28 12:07:59,Active,98.96
ACC0000167,CUST010808,Credit,2023-09-30 11:42:46,Active,1972.65
ACC0000168,CUST009179,Credit,2025-02-17 20:48:54,Active,2883.57
ACC0000169,CUST006227,Payments,2023-11-29 21:49:22,Active,4905.35
ACC0000170,CUST005209,Credit,2026-08-09 10:22:04,Closed,81.33
ACC0000171,CUST002011,Savings,2024-12-09 20:22:37,Active,184.97
ACC0000172,CUST009435,Payments,2023-11-03 20:09:44,Active,1961.64
ACC0000173,CUST009563,Savings,2024-01-21 11:30:58,Active,1333.67
ACC0000174,CUST001531,Credit,2022-01-16 09:05:11,Active,226.84
ACC0000175,CUST011011,Savings,2024-04-25 20:30:45,Active,1709.44
ACC0000176,CUST003946,Payments,2025-04-01 23:06:50,Active,797.45
ACC0000177,CUST008043,Payments,2023-01-12 15:39:04,Active,431.42
ACC0000178,CUST001533,Savings,2024-12-18 23:00:02,Active,376.11
ACC0000179,CUST002195,Credit,2024-07-20 22:05:05,Active,456.99
ACC0000180,CUST007265,Payments,2023-08-22 07:20:00,Active,460.57
ACC0000181,CUST004950,Payments,2025-09-26 08:35:28,Active,190.16
ACC0000182,CUST000326,Credit,2025-05-19 01:50:37,Closed,6724.67
ACC0000183,CUST011279,Credit,2022-11-09 22:20:54,Dormant,5352.56
ACC0000184,CUST010646,Credit,2025-07-14 00:37:34,Active,3420.63
ACC0000185,CUST002299,Payments,2023-01-20 16:55:32,Active,924.05
ACC0000186,CUST007799,Credit,2023-01-24 09:55:56,Dormant,433.99
ACC0000187,CUST002050,Payments,2024-07-06 21:20:40,Dormant,167.51
ACC0000188,CUST008609,Savings,2022-11-23 13:26:31,Active,2218.29
ACC0000189,CUST008422,Savings,2022-03-28 22:14:52,Active,728.76
ACC0000190,CUST008950,Credit,2025-02-23 13:08:32,Active,6656.18
ACC0000191,CUST006518,Payments,2025-07-06 15:28:29,Active,1148.46
ACC0000192,CUST000287,Credit,2023-12-21 11:01:22,Closed,1098.78
ACC0000193,CUST002457,Credit,2023-06-29 01:25:38,Active,399.19
ACC0000194,CUST011891,Credit,2022-07-31 11:11:32,Closed,7184.19
ACC0000195,CUST007399,Payments,2025-07-28 21:13:37,Active,110.0
ACC0000196,CUST004109,Payments,2022-07-08 15:42:25,Active,1069.27
ACC0000197,CUST011241,Payments,2024-08-12 23:51:13,Active,476.5
ACC0000198,CUST005163,Savings,2022-01-12 05:04:40,Dormant,2724.81
ACC0000199,CUST010263,Payments,2024-08-30 17:50:02,Active,1080.49
ACC0000200,CUST009667,Savings,2022-05-16 06:34:20,Dormant,446.92
ACC0000201,CUST000079,Credit,2022-07-22 04:49:36,Active,1376.95
ACC0000202,CUST011175,Credit,2025-02-09 03:39:14,Active,4005.79
ACC0000203,CUST010522,Savings,2023-06-25 04:09:53,Active,1529.74
ACC0000204,CUST011907,Savings,2026-05-01 15:23:36,Active,2099.71
ACC0000205,CUST007523,Savings,2024-11-19 07:11:03,Active,3191.89
ACC0000206,CUST008380,Credit,2025-09-04 00:57:16,Active,728.33
ACC0000207,CUST003206,Payments,2022-09-03 03:06:11,Dormant,6234.57
ACC0000208,CUST001819,Payments,2024-03-22 20:30:02,Active,1043.12
ACC0000209,CUST001122,Payments,2024-01-21 14:04:39,Active,997.53
ACC0000210,CUST002117,Credit,2025-03-17 22:47:43,Active,8498.72
ACC0000211,CUST011655,Payments,2024-09-23 00:23:51,Active,847.25
ACC0000212,CUST003303,Credit,2025-12-10 10:20:51,Active,2222.43
ACC0000213,CUST000349,Credit,2023-01-27 06:53:32,Closed,174.28
ACC0000214,CUST008239,Credit,2023-03-31 23:00:48,Active,250.37
ACC0000215,CUST002216,Savings,2023-11-05 18:32:02,Active,3131.35
ACC0000216,CUST006129,Credit,2025-07-06 10:20:01,Active,556.82
ACC0000217,CUST008055,Payments,2024-03-17 22:20:51,Closed,2305.47
ACC0000218,CUST006881,Payments,2025-10-29 09:47:08,Dormant,4732.46
ACC0000219,CUST009096,Savings,2023-04-04 11:16:40,Active,339.59
ACC0000220,CUST000220,Savings,2026-05-17 08:22:29,Active,14285.42
ACC0000221,CUST003200,Payments,2026-05-06 02:19:38,Active,402.81
ACC0000222,CUST004871,Savings,2023-06-05 04:14:38,Dormant,1637.52
ACC0000223,CUST008845,Credit,2023-04-15 10:32:26,Dormant,3581.03
ACC0000224,CUST006504,Payments,2025-07-15 21:57:30,Active,1582.6
ACC0000225,CUST009183,Payments,2025-03-17 17:12:33,Active,2240.01
ACC0000226,CUST008898,Credit,2025-04-01 01:09:48,Active,557.8
ACC0000227,CUST009633,Credit,2023-07-08 16:40:46,Dormant,758.57
ACC0000228,CUST007295,Payments,2025-01-03 22:14:17,Active,1631.23
ACC0000229,CUST009048,Savings,2024-03-18 07:25:24,Closed,2237.87
ACC0000230,CUST008153,Payments,2026-03-05 02:07:58,Active,282.48
ACC0000231,CUST000392,Payments,2025-04-05 21:19:15,Active,1910.49
ACC0000232,CUST003373,Payments,2024-12-23 05:12:23,Active,633.99
ACC0000233,CUST010708,Payments,2025-07-08 15:41:48,Active,525.28
ACC0000234,CUST001098,Savings,2024-03-10 15:59:39,Closed,4228.44
ACC0000235,CUST006754,Payments,2023-01-31 04:33:25,Active,895.51
ACC0000236,CUST009193,Payments,2024-07-14 22:11:01,Active,1069.23
ACC0000237,CUST005173,Payments,2024-07-13 14:51:41,Active,1854.22
ACC0000238,CUST002155,Payments,2024-01-14 20:15:37,Active,2068.68
ACC0000239,CUST000294,Savings,2024-12-12 21:09:46,Active,1060.69
ACC0000240,CUST007921,Savings,2024-03-02 06:41:59,Active,1094.47
ACC0000241,CUST007090,Credit,2022-03-01 01:48:37,Active,483.24
ACC0000242,CUST008292,Payments,2026-02-02 13:30:55,Closed,1346.44
ACC0000243,CUST001954,Payments,2025-07-02 08:09:25,Active,1517.45
ACC0000244,CUST005619,Savings,2026-07-27 17:32:58,Dormant,3153.19
ACC0000245,CUST006573,Payments,2024-11-20 19:53:54,Active,3728.34
ACC0000246,CUST010058,Savings,2026-01-16 07:32:20,Active,557.39
ACC0000247,CUST002271,Savings,2024-12-15 16:40:11,Active,3287.22
ACC0000248,CUST008347,Payments,2026-07-18 12:38:12,Active,362.64
ACC0000249,CUST008255,Payments,2022-12-10 01:32:43,Active,1451.05
ACC0000250,CUST007127,Savings,2023-03-31 08:21:35,Active,3793.13
ACC0000251,CUST001067,Savings,2024-04-11 01:15:47,Active,4335.64
ACC0000252,CUST001423,Payments,2023-01-28 11:03:32,Dormant,1934.18
ACC0000253,CUST007205,Payments,2024-08-17 12:47:02,Closed,3701.71
ACC0000254,CUST007474,Savings,2023-09-29 09:23:53,Active,1689.68
ACC0000255,CUST007726,Payments,2023-08-10 20:27:23,Active,662.38
ACC0000256,CUST009282,Payments,2025-02-28 08:24:17,Active,3993.72
ACC0000257,CUST004743,Savings,2022-08-30 08:05:27,Dormant,92.18
ACC0000258,CUST003553,Savings,2022-03-08 07:29:37,Active,1958.59
ACC0000259,CUST011006,Payments,2026-02-18 00:43:58,Dormant,700.09
ACC0000260,CUST008310,Credit,2024-05-04 12:18:08,Active,1122.84
ACC0000261,CUST006319,Payments,2025-09-30 00:24:40,Active,12781.3
ACC0000262,CUST006697,Credit,2022-04-11 11:09:40,Closed,2164.89
ACC0000263,CUST009007,Credit,2023-02-13 18:14:02,Active,587.91
ACC0000264,CUST003721,Payments,2024-01-09 14:49:38,Active,165.87
ACC0000265,CUST005335,Payments,2024-05-20 01:06:46,Dormant,468.46
ACC0000266,CUST000517,Payments,2026-02-13 11:00:40,Closed,2948.23
ACC0000267,CUST009501,Credit,2022-08-23 13:39:34,Active,668.16
ACC0000268,CUST006009,Credit,2024-01-29 04:30:23,Active,964.83
ACC0000269,CUST010769,Savings,2022-09-27 09:21:07,Active,806.36
ACC0000270,CUST003564,Credit,2026-07-14 17:57:42,Active,410.22
ACC0000271,CUST004956,Credit,2025-06-26 15:27:30,Active,7357.0
ACC0000272,CUST000656,Savings,2024-11-17 13:56:29,Closed,1375.37
ACC0000273,CUST011609,Credit,2026-05-16 23:45:01,Active,1723.21
ACC0000274,CUST004113,Savings,2026-07-02 06:56:49,Active,7522.15
ACC0000275,CUST001838,Payments,2026-01-16 20:42:54,Active,912.02
ACC0000276,CUST007347,Savings,2022-12-18 22:04:07,Active,680.49
ACC0000277,CUST010155,Savings,2025-12-16 05:47:03,Active,1167.25
ACC0000278,CUST001335,Payments,2023-03-14 07:32:25,Dormant,264.55
ACC0000279,CUST006311,Savings,2023-07-11 18:27:35,Active,1381.83
ACC0000280,CUST005685,Payments,2022-01-28 03:06:39,Active,1038.65
ACC0000281,CUST001661,Payments,2025-10-19 21:19:21,Dormant,878.64
ACC0000282,CUST003315,Payments,2026-03-11 00:27:22,Dormant,3412.96
ACC0000283,CUST007504,Savings,2023-07-23 00:03:13,Active,1351.9
ACC0000284,CUST011874,Payments,2025-08-04 05:34:27,Active,1535.12
ACC0000285,CUST001576,Payments,2025-11-30 21:38:14,Active,1600.13
ACC0000286,CUST007561,Payments,2024-08-25 23:16:09,Active,1719.38
ACC0000287,CUST010650,Credit,2024-03-02 08:13:49,Active,844.2
ACC0000288,CUST009073,Savings,2024-12-19 10:44:40,Active,216.51
ACC0000289,CUST009792,Payments,2022-01-15 01:56:19,Active,453.66
ACC0000290,CUST010999,Savings,2024-02-03 17:02:38,Closed,802.63
ACC0000291,CUST007852,Savings,2026-03-22 19:22:02,Dormant,2213.37
ACC0000292,CUST000451,Savings,2023-07-24 15:12:01,Active,1680.51
ACC0000293,CUST002796,Credit,2025-03-21 10:19:14,Active,4494.98
ACC0000294,CUST004964,Savings,2022-03-04 13:56:24,Active,1167.57
ACC0000295,CUST011554,Payments,2025-03-04 11:31:03,Active,17282.27
ACC0000296,CUST002513,Credit,2023-07-07 20:28:59,Closed,3952.75
ACC0000297,CUST010238,Payments,2026-01-18 15:54:30,Active,523.94
ACC0000298,CUST007614,Credit,2025-05-23 23:35:40,Active,953.81
ACC0000299,CUST008583,Credit,2026-06-11 02:30:35,Active,662.97
ACC0000300,CUST001258,Payments,2022-06-11 15:12:55,Closed,2232.4
ACC0000301,CUST004385,Credit,2025-07-17 00:26:43,Active,2002.56
ACC0000302,CUST005570,Credit,2023-05-01 22:29:48,Active,2267.69
ACC0000303,CUST005811,Credit,2024-08-19 11:42:39,Active,134.91
ACC0000304,CUST010530,Payments,2023-02-06 00:12:30,Closed,490.6
ACC0000305,CUST004057,Payments,2022-10-28 23:06:53,Active,393.75
ACC0000306,CUST010425,Savings,2025-11-09 15:29:24,Active,1210.89
ACC0000307,CUST010193,Savings,2025-04-25 04:26:08,Active,374.06
ACC0000308,CUST007707,Payments,2024-05-28 18:02:55,Active,574.4
ACC0000309,CUST003707,Payments,2024-04-26 04:32:59,Active,294.4
ACC0000310,CUST001187,Savings,2024-05-23 07:31:44,Active,1296.02
ACC0000311,CUST002860,Payments,2024-06-05 23:57:40,Active,7365.93
ACC0000312,CUST007281,Savings,2025-08-10 01:24:46,Active,2430.05
ACC0000313,CUST002573,Payments,2025-01-07 21:34:25,Active,3228.87
ACC0000314,CUST010823,Savings,2026-01-30 21:43:51,Active,9243.77
ACC0000315,CUST004814,Savings,2023-01-31 14:10:29,Dormant,2590.93
ACC0000316,CUST003386,Payments,2023-03-16 18:57:55,Closed,1840.95
ACC0000317,CUST007476,Payments,2024-04-24 08:39:53,Active,174.59
ACC0000318,CUST001871,Payments,2023-06-20 06:07:36,Active,3089.59
ACC0000319,CUST009980,Payments,2025-02-07 05:11:37,Active,656.34
ACC0000320,CUST006597,Payments,2023-02-11 09:25:48,Active,1689.25
ACC0000321,CUST011097,Savings,2024-01-22 10:31:17,Active,2465.16
ACC0000322,CUST010256,Savings,2025-06-27 15:16:56,Active,896.52
ACC0000323,CUST000962,Payments,2024-06-05 09:42:12,Closed,1222.48
ACC0000324,CUST010778,Credit,2024-02-22 21:45:42,Active,205.83
ACC0000325,CUST000567,Credit,2026-06-25 09:14:29,Active,330.26
ACC0000326,CUST009520,Credit,2024-10-01 13:25:23,Active,1110.46
ACC0000327,CUST004353,Savings,2025-07-05 05:58:03,Closed,134.81
ACC0000328,CUST004134,Savings,2024-06-16 12:17:01,Active,6231.6
ACC0000329,CUST009722,Savings,2025-01-02 05:30:31,Active,929.94
ACC0000330,CUST003298,Savings,2025-12-01 08:49:47,Active,1558.96
ACC0000331,CUST010889,Savings,2022-12-03 23:42:36,Closed,221.56
ACC0000332,CUST000485,Savings,2024-09-09 04:40:11,Active,510.74
ACC0000333,CUST002022,Payments,2023-07-11 13:14:02,Active,767.29
ACC0000334,CUST004292,Credit,2026-07-12 08:44:02,Dormant,131.37
ACC0000335,CUST003430,Payments,2024-02-14 14:30:04,Active,1539.72
ACC0000336,CUST010449,Savings,2024-10-03 21:40:04,Active,3784.49
ACC0000337,CUST010824,Payments,2022-03-05 17:33:34,Active,1064.93
ACC0000338,CUST005052,Savings,2024-04-27 14:27:10,Active,1197.18
ACC0000339,CUST006910,Savings,2023-12-07 12:52:22,Active,875.41
ACC0000340,CUST004064,Savings,2022-04-15 16:10:57,Active,453.02
ACC0000341,CUST004893,Payments,2022-01-03 10:13:08,Active,1120.84
ACC0000342,CUST004039,Payments,2023-12-16 13:40:00,Closed,1217.42
ACC0000343,CUST002923,Payments,2025-11-25 16:43:09,Active,1929.52
ACC0000344,CUST008333,Savings,2023-07-21 03:11:27,Active,451.03
ACC0000345,CUST001355,Payments,2025-11-15 21:49:07,Closed,1063.18
ACC0000346,CUST003486,Payments,2024-09-09 03:32:59,Dormant,613.09
ACC0000347,CUST001302,Payments,2023-08-13 01:20:37,Active,762.18
ACC0000348,CUST005421,Credit,2025-07-14 06:44:39,Active,1505.84
ACC0000349,CUST008089,Payments,2023-06-06 20:22:06,Closed,104.85
ACC0000350,CUST006216,Payments,2025-03-06 22:10:08,Active,3118.8
ACC0000351,CUST008645,Savings,2026-08-13 06:00:24,Active,1486.97
ACC0000352,CUST006897,Savings,2024-08-26 00:38:28,Active,4301.79
ACC0000353,CUST004389,Payments,2023-06-24 23:51:02,Closed,92.25
ACC0000354,CUST010944,Savings,2024-02-05 10:43:17,Active,2660.15
ACC0000355,CUST007273,Payments,2025-12-06 23:24:03,Closed,377.8
ACC0000356,CUST000460,Savings,2024-05-28 04:37:34,Dormant,2631.41
ACC0000357,CUST001873,Payments,2025-09-27 17:16:53,Closed,2526.93
ACC0000358,CUST008059,Savings,2026-02-15 12:30:34,Active,7249.96
ACC0000359,CUST000252,Savings,2023-07-02 10:09:16,Active,1650.38
ACC0000360,CUST002069,Credit,2022-08-20 15:38:15,Dormant,124.88
ACC0000361,CUST001198,Payments,2023-10-04 13:55:07,Active,635.95
ACC0000362,CUST009716,Payments,2022-10-30 10:50:14,Active,1678.01
ACC0000363,CUST001271,Payments,2025-06-04 11:58:44,Active,1170.47
ACC0000364,CUST002418,Savings,2024-09-03 04:33:53,Active,343.41
ACC0000365,CUST011818,Payments,2023-10-13 23:35:05,Active,2238.15
ACC0000366,CUST001444,Credit,2025-09-22 12:51:48,Active,15829.29
ACC0000367,CUST002833,Payments,2022-03-11 21:28:47,Active,1208.39
ACC0000368,CUST009765,Credit,2022-05-28 19:34:08,Active,3430.92
