transaction_id,customer_id,transaction_date,product_type,transaction_type,revenue,cost
TXN0000125,CUST000532,2026-04-13 09:47:44,Payments,Interest Income,9.58,0.33
TXN0000126,CUST005717,2026-04-24 07:41:29,Credit,Interest Income,17.58,10.5
TXN0000127,CUST010416,2026-02-24 16:46:36,Payments,FX,16.35,6.84
TXN0000128,CUST000779,2025-05-15 19:40:44,Savings,Interchange,15.82,5.94
TXN0000129,CUST006316,2025-07-29 17:54:20,Payments,Other,19.07,0.39
TXN0000130,CUST008555,2026-07-26 00:32:12,Credit,Interest Income,28.68,9.51
TXN0000131,CUST000566,2026-06-27 04:47:34,Payments,Interest Income,22.55,9.25
TXN0000132,CUST005486,2025-04-04 07:26:49,Payments,Interest Income,21.32,8.68
TXN0000133,CUST007643,2026-03-30 11:21:05,Savings,Interchange,13.66,9.22
TXN0000134,CUST006790,2026-08-18 14:01:17,Savings,Interchange,27.28,5.34
TXN0000135,CUST005321,2026-07-15 07:15:49,Credit,Fee,0.75,9.41
TXN0000136,CUST000177,2025-07-05 02:01:43,Payments,Interest Income,21.08,2.06
TXN0000137,CUST011925,2025-01-24 11:59:22,Payments,Fee,6.95,0.59
TXN0000138,CUST009516,2026-06-12 22:28:48,Payments,Fee,-5.0,3.6
TXN0000139,CUST002729,2025-12-05 22:37:15,Payments,Interchange,-1.88,7.69
TXN0000140,CUST010716,2025-06-29 18:01:54,Payments,FX,6.58,5.32
TXN0000141,CUST008259,2025-05-28 02:30:55,Credit,Interest Income,20.71,2.78
TXN0000142,CUST003820,2025-08-15 20:08:48,Credit,FX,26.06,12.39
TXN0000143,CUST005853,2026-05-06 01:09:33,Credit,Fee,7.66,10.62
TXN0000144,CUST006567,2025-02-24 09:02:26,Payments,FX,27.27,3.86
TXN0000145,CUST003741,2026-04-06 23:40:58,Credit,Interchange,19.85,6.73
TXN0000146,CUST008502,2025-05-15 19:23:18,Credit,Interest Expense,2.8,3.41
TXN0000147,CUST002174,2026-04-16 10:37:31,Payments,Interchange,-5.0,2.73
TXN0000148,CUST011126,2026-03-20 10:36:41,Payments,Interest Income,13.44,0.0
TXN0000149,CUST005763,2025-12-05 10:06:36,Payments,Other,10.18,1.73
TXN0000150,CUST004667,2025-07-09 12:59:56,Payments,Fee,10.02,7.62
TXN0000151,CUST010475,2026-02-18 00:42:08,Payments,Interchange,0.48,11.13
TXN0000152,CUST002333,2025-03-14 20:35:06,Credit,Fee,8.1,1.63
TXN0000153,CUST000786,2026-08-25 08:10:34,Payments,Interest Income,25.25,4.3
TXN0000154,CUST011967,2025-10-07 07:00:57,Payments,Interest Income,4.97,5.89
TXN0000155,CUST003650,2025-06-22 16:47:59,Payments,Fee,6.18,3.08
TXN0000156,CUST000323,2025-01-12 15:48:20,Payments,FX,22.08,3.68
TXN0000157,CUST003271,2025-08-23 19:59:22,Savings,Fee,19.95,8.64
TXN0000158,CUST009891,2025-09-12 21:07:20,Payments,Fee,25.55,0.39
TXN0000159,CUST009052,2026-05-02 13:24:24,Savings,Other,-1.04,5.2
TXN0000160,CUST005774,2025-11-19 04:34:11,Savings,Other,-5.0,0.0
TXN0000161,CUST010662,2025-06-28 06:02:34,Credit,FX,4.13,0.61
TXN0000162,CUST004813,2025-11-07 22:43:38,Savings,FX,25.18,4.39
TXN0000163,CUST003524,2025-11-14 08:38:02,Savings,Interchange,7.43,0.0
TXN0000164,CUST008014,2026-07-03 08:38:47,Payments,Interchange,21.74,2.62
TXN0000165,CUST010453,2025-03-29 23:44:42,Payments,Interchange,4.0,6.43
TXN0000166,CUST002942,2026-04-10 19:20:41,Savings,Interest Income,14.62,5.2
TXN0000167,CUST005863,2025-06-15 14:33:37,Payments,Fee,18.74,0.0
TXN0000168,CUST003347,2026-05-07 06:10:14,Credit,Fee,5.81,8.46
TXN0000169,CUST011303,2025-08-28 17:00:09,Savings,Fee,-5.0,5.67
TXN0000170,CUST010236,2025-11-20 14:07:40,Credit,Interest Expense,11.05,6.49
TXN0000171,CUST007185,2025-04-13 09:33:24,Savings,Interchange,17.73,2.31
TXN0000172,CUST004897,2025-09-03 04:34:36,Payments,Fee,30.72,8.13
TXN0000173,CUST006548,2026-02-03 09:29:13,Credit,Fee,19.64,5.14
TXN0000174,CUST004859,2026-07-10 13:37:58,Credit,Interchange,17.26,7.36
TXN0000175,CUST001429,2025-04-26 21:14:57,Credit,Interchange,14.51,0.0
TXN0000176,CUST000770,2026-06-25 03:30:00,Savings,Interchange,18.87,0.0
TXN0000177,CUST005285,2026-07-27 21:05:00,Payments,Interest Income,2.98,12.57
TXN0000178,CUST003269,2025-11-05 12:56:17,Payments,Interest Expense,6.19,1.86
TXN0000179,CUST004032,2025-06-14 11:02:19,Savings,Fee,3.25,2.47
TXN0000180,CUST005918,2025-10-21 23:39:11,Payments,Interest Expense,-5.0,0.51
TXN0000181,CUST000635,2026-04-13 07:18:45,Savings,Interest Income,8.21,0.0
TXN0000182,CUST006864,2025-06-16 08:43:52,Payments,Interest Income,-3.2,3.72
TXN0000183,CUST010493,2026-03-07 00:45:23,Payments,Fee,33.8,2.25
TXN0000184,CUST005423,2026-02-02 15:24:00,Payments,Interchange,31.71,2.15
TXN0000185,CUST004041,2026-04-01 20:17:35,Savings,Interchange,-4.95,5.26
TXN0000186,CUST008583,2025-05-21 02:06:27,Payments,FX,11.88,1.1
TXN0000187,CUST001653,2025-11-23 14:43:04,Payments,Interchange,22.37,10.33
TXN0000188,CUST000122,2025-12-24 12:09:39,Credit,Interchange,11.33,0.0
TXN0000189,CUST011319,2025-02-24 22:52:31,Savings,Fee,11.24,7.35
TXN0000190,CUST009242,2026-07-09 16:46:51,Savings,Fee,19.33,3.82
TXN0000191,CUST010469,2026-03-16 08:05:29,Credit,Interchange,21.57,0.03
TXN0000192,CUST007647,2026-07-09 08:58:24,Credit,Other,30.93,4.41
TXN0000193,CUST001556,2025-09-02 12:35:03,Payments,Interchange,33.33,0.0
TXN0000194,CUST011392,2025-07-30 06:49:56,Credit,Interchange,11.2,11.16
TXN0000195,CUST010386,2025-03-27 01:47:03,Payments,Interest Income,33.13,0.0
TXN0000196,CUST000523,2025-08-24 15:30:47,Savings,Fee,11.45,7.21
TXN0000197,CUST006761,2025-09-20 09:55:19,Payments,Interest Expense,19.61,0.0
TXN0000198,CUST011490,2025-09-20 02:08:46,Payments,Fee,25.85,0.0
TXN0000199,CUST008048,2025-10-03 12:44:13,Payments,Interest Income,17.21,5.73
TXN0000200,CUST006211,2025-05-21 08:53:47,Savings,Fee,1.64,0.86
TXN0000201,CUST007835,2026-06-30 10:19:22,Savings,Interest Income,6.54,7.23
TXN0000202,CUST001009,2026-03-09 13:17:53,Payments,Other,5.23,3.88
TXN0000203,CUST007154,2026-01-05 07:20:09,Payments,Fee,25.67,10.02
TXN0000204,CUST002661,2025-01-30 16:47:24,Savings,Interest Income,18.82,3.7
TXN0000205,CUST001662,2026-04-21 04:14:18,Savings,Interchange,12.55,0.0
TXN0000206,CUST011488,2025-11-04 12:42:51,Credit,Fee,-0.01,1.93
TXN0000207,CUST008051,2026-05-19 14:30:34,Payments,Other,25.58,0.97
TXN0000208,CUST001836,2026-07-01 00:51:24,Payments,Interest Income,-3.0,12.55
TXN0000209,CUST002458,2025-05-03 13:26:11,Credit,Interest Expense,8.65,7.64
TXN0000210,CUST008630,2025-07-18 11:24:55,Payments,Fee,28.27,6.04
TXN0000211,CUST010089,2025-05-06 06:55:33,Payments,Fee,-2.17,4.44
TXN0000212,CUST008412,2025-05-02 12:14:40,Payments,Other,16.59,9.31
TXN0000213,CUST003014,2025-04-06 02:21:17,Credit,Fee,-0.52,0.0
TXN0000214,CUST000267,2025-09-05 11:24:31,Credit,Fee,25.56,11.32
TXN0000215,CUST003247,2025-05-05 22:54:07,Savings,Interchange,28.21,0.0
TXN0000216,CUST004756,2025-05-26 17:50:35,Savings,Interest Income,25.65,9.33
TXN0000217,CUST010483,2025-05-17 07:12:34,Credit,Interest Income,22.51,5.15
TXN0000218,CUST008483,2025-04-26 04:08:50,Payments,FX,7.58,3.97
TXN0000219,CUST004876,2026-07-16 07:33:23,Savings,Interest Income,19.39,0.0
TXN0000220,CUST001992,2026-06-30 20:01:38,Credit,Interest Income,29.24,7.81
TXN0000221,CUST009668,2025-10-25 10:28:38,Savings,Interchange,24.49,7.3
TXN0000222,CUST009024,2026-03-10 01:10:41,Credit,Interest Expense,4.99,11.67
TXN0000223,CUST007755,2026-06-14 15:28:18,Payments,Interchange,16.59,3.06
TXN0000224,CUST007252,2026-01-07 08:28:06,Savings,Other,-4.22,3.81
TXN0000225,CUST010491,2025-11-24 23:16:29,Savings,Interchange,-5.0,4.27
TXN0000226,CUST005657,2025-04-04 04:11:23,Payments,Interest Income,14.06,9.25
TXN0000227,CUST004927,2026-06-01 14:17:16,Payments,Interchange,12.59,9.08
TXN0000228,CUST010387,2026-07-13 14:46:15,Credit,Fee,9.68,0.0
TXN0000229,CUST010942,2026-06-04 18:35:29,Payments,FX,8.08,16.28
TXN0000230,CUST004580,2026-03-06 10:52:40,Credit,Fee,7.38,0.0
TXN0000231,CUST001365,2026-07-13 07:01:09,Savings,Fee,-0.49,3.29
TXN0000232,CUST008824,2026-01-28 14:11:12,Savings,Fee,19.52,10.8
TXN0000233,CUST011864,2025-03-11 06:17:11,Payments,Fee,3.25,2.18
TXN0000234,CUST008547,2025-07-22 01:08:28,Savings,Fee,23.8,3.81
TXN0000235,CUST001789,2026-06-07 04:16:49,Payments,Interest Income,3.63,9.55
TXN0000236,CUST003985,2025-03-29 22:18:15,Credit,Fee,13.35,8.31
TXN0000237,CUST011269,2025-04-29 15:43:52,Payments,Fee,34.84,1.56
TXN0000238,CUST010522,2026-05-25 07:41:21,Payments,Interchange,22.97,11.23
TXN0000239,CUST000812,2025-11-19 09:20:14,Credit,Interest Income,14.72,10.04
TXN0000240,CUST007133,2025-06-26 22:28:12,Payments,Interest Expense,-2.38,7.09
TXN0000241,CUST006857,2026-02-08 22:23:56,Savings,Interest Income,8.89,9.51
TXN0000242,CUST011701,2025-04-04 04:38:19,Payments,FX,41.53,2.65
TXN0000243,CUST003317,2025-12-03 17:15:19,Payments,Interest Income,19.41,5.23
TXN0000244,CUST005375,2026-08-01 05:41:39,Payments,Interchange,4.93,5.77
TXN0000245,CUST011692,2026-04-04 13:25:00,Payments,Interest Income,15.78,15.05
TXN0000246,CUST004647,2026-01-05 10:49:01,Payments,Interest Expense,6.8,0.34
TXN0000247,CUST006413,2026-07-29 14:10:08,Payments,Fee,21.03,1.27
TXN0000248,CUST008708,2025-08-15 11:36:49,Payments,Interchange,7.92,17.69
TXN0000249,CUST006734,2025-04-18 15:21:08,Credit,Fee,6.85,13.12
TXN0000250,CUST007129,2025-06-18 15:47:01,Payments,Interchange,-4.73,5.24
TXN0000251,CUST008984,2026-04-20 22:17:16,Payments,Interest Income,9.66,9.48
TXN0000252,CUST004403,2026-03-24 21:37:11,Payments,Interchange,3.91,3.67
TXN0000253,CUST001347,2026-04-04 17:56:16,Payments,Interchange,27.62,7.2
TXN0000254,CUST003618,2026-01-16 10:57:35,Payments,Fee,11.77,3.92
TXN0000255,CUST004341,2025-06-14 11:14:39,Payments,Fee,11.21,2.83
TXN0000256,CUST009932,2025-06-07 11:30:17,Credit,Interest Income,12.77,11.53
TXN0000257,CUST003628,2026-04-30 20:54:12,Savings,Interchange,30.17,4.41
TXN0000258,CUST005619,2025-11-10 11:58:13,Savings,Fee,-1.37,3.58
TXN0000259,CUST008736,2026-02-12 10:11:55,Savings,Other,28.97,6.88
TXN0000260,CUST011997,2026-05-10 12:16:46,Savings,Other,8.4,0.0
TXN0000261,CUST006327,2026-08-24 10:33:12,Payments,Interest Expense,17.64,5.39
TXN0000262,CUST004419,2025-05-01 23:17:05,Payments,Interchange,21.92,0.0
TXN0000263,CUST008880,2025-04-25 02:46:00,Payments,Fee,23.39,6.95
TXN0000264,CUST001438,2025-05-04 14:38:51,Savings,FX,30.86,4.73
TXN0000265,CUST002274,2026-04-09 15:48:28,Payments,Interchange,2.29,2.01
TXN0000266,CUST005928,2025-09-13 17:03:40,Credit,Fee,4.07,0.0
TXN0000267,CUST007587,2025-04-14 20:16:43,Credit,Other,15.41,15.71
TXN0000268,CUST010586,2026-05-10 09:21:57,Credit,FX,5.19,8.51
TXN0000269,CUST007721,2025-03-17 10:34:57,Credit,FX,7.0,12.22
TXN0000270,CUST010923,2025-09-01 04:59:50,Credit,FX,35.39,7.77
TXN0000271,CUST004329,2025-04-15 19:20:41,Savings,Interchange,1.08,5.5
TXN0000272,CUST003707,2025-09-11 02:47:28,Savings,Interchange,-0.13,2.57
TXN0000273,CUST011842,2026-04-21 15:47:39,Credit,Interchange,7.08,4.07
TXN0000274,CUST011855,2025-04-12 23:58:18,Savings,Other,0.61,7.79
TXN0000275,CUST003442,2026-06-28 02:38:13,Credit,FX,8.72,9.09
TXN0000276,CUST005639,2025-03-06 07:03:44,Payments,Interchange,18.4,0.33
TXN0000277,CUST004348,2025-05-14 03:20:33,Payments,Interchange,11.45,0.0
TXN0000278,CUST004758,2025-03-15 01:22:51,Savings,Interest Income,23.91,7.69
TXN0000279,CUST003768,2025-04-08 04:49:54,Savings,FX,17.17,3.96
TXN0000280,CUST004966,2026-02-21 07:44:21,Credit,Interchange,29.38,4.6
TXN0000281,CUST008974,2025-10-02 05:39:12,Savings,FX,10.83,0.0
TXN0000282,CUST002192,2026-01-12 10:20:22,Payments,Interchange,27.81,0.0
TXN0000283,CUST003802,2026-02-19 07:55:39,Payments,Fee,22.9,15.47
TXN0000284,CUST007048,2026-07-28 04:27:23,Payments,Interchange,15.87,2.79
TXN0000285,CUST006746,2025-01-02 05:14:19,Payments,Fee,8.16,2.89
TXN0000286,CUST000744,2026-06-18 00:43:57,Credit,Interest Expense,12.12,4.75
TXN0000287,CUST008233,2026-08-23 06:33:09,Payments,Interchange,1.62,6.22
TXN0000288,CUST002421,2025-05-02 20:17:56,Payments,Fee,30.62,10.78
TXN0000289,CUST006410,2025-01-22 01:37:46,Payments,Interest Income,19.55,3.61
TXN0000290,CUST003178,2026-04-04 10:55:00,Payments,Interchange,14.04,7.19
TXN0000291,CUST011062,2026-02-07 10:54:23,Savings,Interest Expense,12.61,9.54
TXN0000292,CUST000385,2026-08-22 10:21:35,Payments,Fee,18.26,0.0
TXN0000293,CUST004089,2026-05-13 02:29:49,Credit,Interest Expense,19.47,8.14
TXN0000294,CUST007988,2025-05-31 23:13:35,Payments,Interchange,8.21,0.0
TXN0000295,CUST003904,2026-04-15 01:48:48,Payments,Interest Income,-5.0,13.37
TXN0000296,CUST009708,2026-04-02 15:23:18,Credit,Fee,29.56,0.0
TXN0000297,CUST009156,2026-05-31 15:37:43,Savings,Interchange,33.96,9.65
TXN0000298,CUST008107,2026-08-27 10:29:38,Credit,FX,9.76,1.91
TXN0000299,CUST002094,2026-06-13 14:04:06,Payments,FX,-0.51,3.83
TXN0000300,CUST011377,2025-01-06 11:24:29,Payments,Interest Income,-5.0,4.32
TXN0000301,CUST011596,2026-04-01 17:15:53,Payments,Fee,-2.76,10.68
TXN0000302,CUST009041,2025-10-26 04:19:32,Savings,Interchange,11.4,5.05
TXN0000303,CUST004930,2026-01-30 03:17:20,Savings,Fee,22.76,0.74
TXN0000304,CUST005532,2026-05-05 14:55:39,Credit,Interest Expense,6.23,0.0
TXN0000305,CUST001526,2025-11-17 06:14:19,Payments,Fee,-1.97,12.03
TXN0000306,CUST001646,2025-08-14 11:15:11,Payments,Fee,9.21,8.8
TXN0000307,CUST011694,2025-09-16 05:48:36,Credit,Other,18.8,4.94
TXN0000308,CUST011858,2025-07-02 20:20:57,Payments,Interchange,7.22,7.98
TXN0000309,CUST004968,2025-09-15 19:36:19,Payments,Fee,19.3,4.34
TXN0000310,CUST008746,2025-02-21 07:44:38,Payments,Interest Income,-5.0,1.37
TXN0000311,CUST003004,2026-04-16 04:45:26,Payments,Interchange,35.5,5.65
TXN0000312,CUST001230,2026-03-15 23:39:02,Savings,Fee,30.97,6.52
TXN0000313,CUST007727,2025-05-14 09:52:22,Payments,Interchange,8.96,5.12
TXN0000314,CUST010648,2026-06-06 14:55:09,Savings,FX,11.17,11.5
TXN0000315,CUST009564,2025-06-15 00:15:48,Payments,Interest Expense,15.49,10.45
TXN0000316,CUST005086,2025-01-01 21:03:45,Credit,Interchange,5.24,7.51
TXN0000317,CUST005621,2026-03-19 05:00:27,Payments,Interest Income,-5.0,8.31
TXN0000318,CUST001326,2025-09-17 12:21:53,Payments,Fee,22.22,12.36
TXN0000319,CUST004883,2026-02-25 08:20:27,Savings,Fee,4.85,8.05
TXN0000320,CUST010054,2025-07-01 15:32:05,Payments,Fee,36.59,7.56
TXN0000321,CUST003545,2026-08-05 04:44:26,Savings,Interchange,15.94,2.81
TXN0000322,CUST007363,2025-02-13 23:41:49,Savings,Fee,33.25,5.06
TXN0000323,CUST000513,2026-05-20 01:53:08,Payments,Fee,3.6,5.27
TXN0000324,CUST000662,2025-06-27 00:01:50,Credit,Interest Income,11.09,3.16
TXN0000325,CUST010309,2025-10-08 06:39:59,Payments,Interest Expense,20.1,16.1
