loan_id,customer_id,origination_date,original_amount,outstanding_balance,days_past_due,risk_band
LOAN0000108,CUST002974,2026-01-09 08:27:12,8327.0,1922.13,0,Medium
LOAN0000109,CUST009681,2025-03-17 00:27:32,4848.97,3791.6,0,Medium
LOAN0000110,CUST007136,2023-01-20 18:21:50,5217.71,4848.38,15,Low
LOAN0000111,CUST001911,2026-07-28 10:24:47,3000.0,1597.99,0,Medium
LOAN0000112,CUST009715,2024-12-30 15:30:12,8006.8,1368.71,0,Medium
LOAN0000113,CUST002509,2025-01-01 23:10:59,10893.95,2086.55,0,High
LOAN0000114,CUST002173,2024-05-24 17:31:27,12351.75,895.67,0,High
LOAN0000115,CUST000749,2026-03-01 00:49:26,4919.47,650.73,5,Medium
LOAN0000116,CUST001876,2023-01-02 05:54:10,6476.24,3205.67,0,Very High
LOAN0000117,CUST007100,2024-12-15 20:48:35,15910.09,7763.54,0,Medium
LOAN0000118,CUST003809,2026-06-02 18:00:51,12400.27,4360.97,0,High
LOAN0000119,CUST001631,2026-03-16 06:04:27,9142.32,1486.35,0,High
LOAN0000120,CUST002026,2023-01-09 18:46:43,8510.98,2352.8,0,Low
LOAN0000121,CUST005826,2026-05-25 15:46:40,9558.32,8457.96,0,High
LOAN0000122,CUST000936,2026-04-09 04:47:01,18277.39,6408.81,0,Low
LOAN0000123,CUST000028,2024-06-11 17:18:25,24459.93,5747.45,0,High
LOAN0000124,CUST003711,2026-01-18 23:11:37,9617.54,2186.15,0,Low
LOAN0000125,CUST004102,2024-12-28 21:03:05,3000.0,1611.35,0,Low
LOAN0000126,CUST007299,2024-02-10 09:38:35,15775.75,3580.69,0,Medium
LOAN0000127,CUST004666,2023-07-09 05:17:32,4882.24,3074.12,0,Very High
LOAN0000128,CUST000158,2025-06-29 04:21:40,28509.58,18025.71,0,Medium
LOAN0000129,CUST009597,2024-02-12 21:06:45,6076.22,1458.33,0,Medium
LOAN0000130,CUST006941,2023-08-30 06:07:33,22651.14,7966.49,15,Low
LOAN0000131,CUST004694,2023-07-23 08:32:45,5175.02,1095.94,0,High
LOAN0000132,CUST003476,2025-03-05 05:29:23,4121.82,1804.41,0,Medium
LOAN0000133,CUST004124,2023-01-19 20:52:30,7424.54,2103.77,0,Medium
LOAN0000134,CUST009637,2026-05-18 14:42:51,3182.44,2511.96,90,Medium
LOAN0000135,CUST000003,2025-06-15 20:36:11,22924.63,19628.82,0,Medium
LOAN0000136,CUST006858,2025-06-18 10:51:14,4727.31,3982.73,0,Medium
LOAN0000137,CUST011571,2023-10-04 00:03:52,3663.64,758.98,0,Medium
LOAN0000138,CUST004539,2023-08-17 09:26:32,18433.3,7305.39,0,Medium
LOAN0000139,CUST000848,2024-02-27 14:55:32,4437.54,851.54,0,Low
LOAN0000140,CUST011461,2024-02-21 13:02:02,11351.89,10884.27,0,Low
LOAN0000141,CUST002427,2024-09-15 05:04:08,4049.95,1441.54,0,Medium
LOAN0000142,CUST003534,2026-03-31 20:31:37,8122.17,1238.99,5,Medium
LOAN0000143,CUST004644,2025-03-22 07:17:30,5355.46,2652.97,0,Low
LOAN0000144,CUST009471,2025-05-15 12:04:09,11399.86,5218.32,120,Medium
LOAN0000145,CUST010082,2025-04-16 08:10:34,6066.29,3712.7,0,Medium
LOAN0000146,CUST010629,2023-10-21 19:20:03,5036.71,3326.57,15,Low
LOAN0000147,CUST003597,2024-08-30 11:15:25,9486.49,5831.62,0,High
LOAN0000148,CUST008293,2024-08-31 03:45:23,6601.91,3288.83,0,Low
LOAN0000149,CUST005324,2023-11-09 11:49:50,26734.13,5314.09,0,Low
LOAN0000150,CUST001631,2024-04-30 18:55:34,13668.01,2740.98,0,Medium
LOAN0000151,CUST006611,2024-06-01 15:03:07,4836.04,3493.95,0,Medium
LOAN0000152,CUST004482,2024-04-15 07:42:15,15178.73,13807.81,0,High
LOAN0000153,CUST000709,2025-09-15 16:11:42,4878.87,4399.94,5,Low
LOAN0000154,CUST005702,2026-05-08 05:36:43,13750.97,5360.39,0,Low
LOAN0000155,CUST008408,2025-02-05 14:29:28,5659.24,2390.45,0,High
LOAN0000156,CUST006351,2023-09-02 00:30:38,8624.88,6469.7,0,Low
LOAN0000157,CUST002162,2023-11-25 08:46:18,3836.34,1799.54,15,Low
LOAN0000158,CUST000516,2024-01-29 12:41:43,7383.32,5805.1,60,High
LOAN0000159,CUST001705,2026-05-23 16:32:49,14220.23,4867.39,0,Low
LOAN0000160,CUST007531,2024-05-30 01:31:00,22004.59,5440.23,0,Low
LOAN0000161,CUST001603,2024-01-20 23:53:01,6582.0,5311.47,30,Low
LOAN0000162,CUST006241,2025-09-29 02:07:58,11031.8,10449.85,0,Low
LOAN0000163,CUST010314,2023-11-04 22:45:37,4921.28,3461.87,0,High
LOAN0000164,CUST008167,2024-08-11 14:11:13,6233.94,4893.46,120,Low
LOAN0000165,CUST000387,2025-07-02 01:44:22,14312.69,6951.66,0,Low
LOAN0000166,CUST009906,2025-03-01 01:41:17,6943.4,3174.91,15,Low
LOAN0000167,CUST000594,2023-07-06 02:00:02,9398.53,7525.55,5,High
LOAN0000168,CUST002973,2025-06-15 10:00:58,10058.75,5759.14,0,Medium
LOAN0000169,CUST003158,2023-01-11 04:21:13,7373.54,2049.98,0,Medium
LOAN0000170,CUST001633,2023-12-28 12:42:35,3849.15,1168.24,0,Medium
LOAN0000171,CUST007400,2026-06-11 04:04:35,3000.0,2113.28,0,Low
LOAN0000172,CUST011222,2023-05-24 01:08:29,11401.95,6029.94,0,Low
LOAN0000173,CUST001940,2023-03-22 00:54:58,7688.3,1539.19,60,Low
LOAN0000174,CUST001814,2024-05-27 04:08:22,6972.3,1154.96,0,High
LOAN0000175,CUST000931,2023-11-26 17:19:44,3461.56,2667.39,0,Medium
LOAN0000176,CUST010594,2024-04-05 14:02:49,3000.0,321.34,0,Low
LOAN0000177,CUST004771,2024-11-21 14:12:24,11863.28,2197.71,0,Low
LOAN0000178,CUST008454,2023-04-29 07:21:24,8035.46,5158.63,15,Low
LOAN0000179,CUST010792,2026-03-21 10:43:31,15955.98,14862.54,0,Low
LOAN0000180,CUST011790,2023-12-29 14:16:23,16069.25,7952.04,0,Low
LOAN0000181,CUST005049,2023-06-12 07:41:22,13825.5,2417.19,0,Low
LOAN0000182,CUST003257,2026-05-14 13:17:38,3000.0,1359.77,60,High
LOAN0000183,CUST011176,2023-10-25 03:44:18,24463.41,2130.18,0,Low
LOAN0000184,CUST005029,2025-07-26 12:31:53,26296.11,9511.95,0,Medium
LOAN0000185,CUST004973,2024-06-17 19:44:32,6816.74,1421.17,0,Medium
LOAN0000186,CUST008876,2024-07-25 21:11:58,3281.76,2638.67,45,Low
LOAN0000187,CUST002756,2026-04-09 19:30:26,4973.01,474.23,0,Medium
LOAN0000188,CUST011843,2023-06-26 15:42:49,3000.0,1138.24,0,High
LOAN0000189,CUST005204,2023-07-12 12:23:18,11949.17,1566.92,0,Medium
LOAN0000190,CUST009985,2024-11-01 01:35:52,4180.83,3119.84,0,High
LOAN0000191,CUST009026,2026-05-21 01:16:54,3000.0,261.71,15,Medium
LOAN0000192,CUST004635,2023-10-30 11:44:19,3111.15,2249.67,120,Medium
LOAN0000193,CUST003621,2023-06-26 19:13:54,5840.49,2405.09,0,Medium
LOAN0000194,CUST007745,2025-01-28 22:47:46,21992.12,10592.4,0,Medium
LOAN0000195,CUST002143,2024-12-10 22:03:26,3875.17,1843.8,5,Medium
LOAN0000196,CUST010269,2024-03-30 00:57:45,8655.54,6449.25,0,High
LOAN0000197,CUST003378,2023-04-12 09:09:12,13003.92,10761.71,0,Medium
LOAN0000198,CUST008993,2025-04-17 17:51:03,9391.03,2367.74,0,Very High
LOAN0000199,CUST006017,2025-01-24 19:56:25,4325.73,2047.61,0,Low
LOAN0000200,CUST009971,2024-01-27 20:56:29,3772.96,823.14,0,Medium
LOAN0000201,CUST005405,2024-06-08 19:13:17,9654.67,9387.38,0,Low
LOAN0000202,CUST003154,2024-10-20 16:46:49,6849.61,1920.86,0,High
LOAN0000203,CUST003218,2023-02-22 01:21:38,3000.0,2263.06,0,Low
LOAN0000204,CUST002771,2025-09-20 10:26:36,5195.11,758.16,0,Low
LOAN0000205,CUST005151,2025-08-28 10:14:46,6439.32,5477.87,0,Medium
LOAN0000206,CUST006852,2025-10-31 22:28:09,9191.65,4157.13,0,High
LOAN0000207,CUST010478,2026-04-02 07:01:39,13574.49,7783.08,0,Low
LOAN0000208,CUST011003,2023-05-14 02:24:54,3000.0,2855.86,120,Medium
LOAN0000209,CUST007095,2024-02-19 03:56:29,16315.12,3865.57,0,Low
LOAN0000210,CUST006870,2023-12-25 22:04:35,8534.94,7374.6,0,Medium
LOAN0000211,CUST006815,2025-03-11 02:00:49,9511.38,720.11,30,Low
LOAN0000212,CUST000559,2024-08-10 10:36:47,5124.27,4580.17,0,Low
LOAN0000213,CUST009634,2025-07-22 13:14:58,5113.94,1850.65,30,Low
LOAN0000214,CUST000896,2024-01-27 20:08:49,3558.54,187.43,0,Low
LOAN0000215,CUST005903,2024-08-18 00:49:56,13439.71,11285.4,0,Medium
LOAN0000216,CUST003602,2025-09-29 23:59:01,5962.98,5092.98,90,High
LOAN0000217,CUST004768,2025-02-27 04:25:18,5207.17,4308.41,0,Medium
LOAN0000218,CUST008702,2023-08-09 20:27:49,3000.0,2286.63,15,Medium
LOAN0000219,CUST007910,2026-02-22 09:18:26,6575.29,5328.46,0,High
LOAN0000220,CUST006485,2024-05-22 04:51:42,27223.59,9799.79,0,Medium
LOAN0000221,CUST005032,2026-06-10 07:47:49,30586.98,25063.58,0,Medium
LOAN0000222,CUST004082,2025-03-03 11:25:57,5723.93,5298.35,5,Low
LOAN0000223,CUST003745,2024-10-28 08:03:39,11196.32,727.51,0,High
LOAN0000224,CUST008872,2024-12-21 10:18:12,12275.09,3571.79,0,Low
LOAN0000225,CUST011592,2023-09-16 03:48:28,3628.95,1977.81,0,Medium
LOAN0000226,CUST008995,2023-02-10 19:44:30,27581.31,24376.35,0,High
LOAN0000227,CUST005727,2025-11-21 08:53:37,3473.41,1936.62,0,Low
LOAN0000228,CUST006973,2024-09-23 09:26:26,8167.47,4771.58,120,Medium
LOAN0000229,CUST009066,2023-12-19 10:11:38,14923.31,8994.39,0,Medium
LOAN0000230,CUST001731,2024-02-17 10:39:19,8532.12,6903.29,0,Low
LOAN0000231,CUST008902,2026-06-07 19:37:08,3000.0,650.48,0,Low
LOAN0000232,CUST011725,2024-07-25 01:49:32,14631.67,12176.26,0,Low
LOAN0000233,CUST011524,2025-04-26 15:22:49,5459.18,3359.77,15,High
LOAN0000234,CUST004145,2026-07-10 20:27:54,7587.64,5897.84,0,Medium
LOAN0000235,CUST008700,2023-02-24 21:40:10,3038.33,2028.83,0,Low
LOAN0000236,CUST000694,2023-09-15 00:59:14,10166.78,7273.19,0,Medium
LOAN0000237,CUST008713,2025-04-20 19:34:16,9806.14,852.31,0,Medium
LOAN0000238,CUST005615,2024-11-17 00:56:24,21760.56,15245.77,0,Medium
LOAN0000239,CUST004268,2023-05-03 16:16:44,4117.95,3228.64,5,Low
LOAN0000240,CUST001873,2024-01-06 06:02:58,10564.92,6813.33,0,Medium
LOAN0000241,CUST008402,2023-05-07 10:26:34,3806.69,204.85,30,High
LOAN0000242,CUST009785,2026-03-27 12:02:09,5951.59,2731.86,0,Low
LOAN0000243,CUST007905,2023-11-25 20:35:17,11287.72,2283.04,0,Very High
LOAN0000244,CUST001922,2023-05-20 03:05:07,21531.03,18332.04,0,Very High
LOAN0000245,CUST004311,2023-11-10 05:23:01,13168.62,6619.93,0,High
LOAN0000246,CUST002932,2026-06-04 18:23:35,5926.05,4766.13,0,High
LOAN0000247,CUST011710,2026-03-19 04:18:01,4059.82,2169.09,0,Medium
LOAN0000248,CUST001292,2024-11-24 19:41:58,5243.25,2428.69,120,Low
LOAN0000249,CUST011950,2026-07-04 14:05:00,5995.31,2396.88,0,High
LOAN0000250,CUST006306,2023-10-01 01:17:39,8613.67,7664.06,60,Low
LOAN0000251,CUST003666,2023-11-12 17:14:27,12144.94,8487.22,0,Medium
LOAN0000252,CUST011660,2024-10-03 02:30:29,6387.19,4992.69,0,Medium
LOAN0000253,CUST009994,2023-04-26 00:59:50,3000.0,2365.73,0,Medium
LOAN0000254,CUST004160,2025-05-18 00:33:30,11879.49,4729.29,0,Medium
LOAN0000255,CUST000959,2025-03-09 17:34:32,5374.48,4790.02,0,High
LOAN0000256,CUST002051,2023-05-15 04:46:28,8158.04,4704.2,0,Low
LOAN0000257,CUST010441,2024-03-16 12:50:39,3000.0,1169.24,0,Medium
LOAN0000258,CUST007787,2025-12-06 03:01:48,6139.08,2754.48,0,High
LOAN0000259,CUST002699,2023-09-30 02:21:04,4732.44,4526.95,0,High
LOAN0000260,CUST006823,2023-07-28 12:12:41,7639.76,6313.87,0,High
LOAN0000261,CUST005132,2025-06-06 23:49:00,13420.31,5187.92,0,Medium
LOAN0000262,CUST002636,2026-02-02 18:25:29,4467.28,666.4,0,Medium
LOAN0000263,CUST001447,2023-09-09 21:43:58,6570.48,1353.19,0,Medium
LOAN0000264,CUST006606,2025-04-01 10:50:48,8985.38,1221.87,0,Low
LOAN0000265,CUST005961,2023-08-10 22:31:07,7552.06,2595.85,0,Low
LOAN0000266,CUST011413,2023-05-31 04:31:30,11444.2,6562.83,0,Low
LOAN0000267,CUST005094,2025-12-14 15:21:59,35123.75,5301.16,60,Medium
LOAN0000268,CUST004937,2023-08-06 00:45:10,4740.65,4301.1,0,Low
LOAN0000269,CUST006568,2025-07-02 16:09:09,6269.86,5608.86,0,Medium
LOAN0000270,CUST002406,2025-05-18 04:55:56,4162.71,3717.45,0,High
LOAN0000271,CUST009812,2026-03-13 03:43:02,5461.59,3164.63,90,Low
LOAN0000272,CUST002157,2024-02-16 12:41:01,7032.27,2292.11,30,Very High
LOAN0000273,CUST002693,2025-07-01 00:29:40,9842.27,6742.11,0,Low
LOAN0000274,CUST006764,2024-12-01 17:00:42,8289.71,2567.24,0,High
LOAN0000275,CUST005617,2023-03-29 14:02:21,14880.73,3624.04,0,Medium
LOAN0000276,CUST001811,2023-03-26 22:23:40,17088.32,8749.05,0,Medium
LOAN0000277,CUST010950,2026-03-30 22:56:56,11110.74,10092.37,0,Low
LOAN0000278,CUST009990,2026-06-11 22:28:32,3753.14,1161.26,45,Low
LOAN0000279,CUST000680,2024-09-27 00:21:50,6112.34,2626.4,5,Low
LOAN0000280,CUST001080,2024-02-09 06:50:38,9693.63,8124.3,5,Low
LOAN0000281,CUST010757,2025-10-31 21:48:19,9831.4,648.34,0,Low
LOAN0000282,CUST009185,2023-10-15 14:13:37,10674.71,10110.18,0,Medium
LOAN0000283,CUST001641,2023-12-16 04:03:34,15656.9,12209.38,0,High
LOAN0000284,CUST006575,2024-10-22 22:00:03,15665.2,11392.0,0,Medium
LOAN0000285,CUST011540,2025-03-10 19:51:14,5544.3,3202.08,30,Medium
LOAN0000286,CUST001574,2023-11-09 22:03:40,10121.79,8192.93,15,Low
LOAN0000287,CUST008224,2024-09-29 08:57:13,17051.73,14724.61,5,Low
LOAN0000288,CUST008229,2026-02-05 09:22:15,29855.44,9106.01,0,Low
LOAN0000289,CUST005218,2023-02-03 03:47:16,11241.29,1258.83,0,Low
LOAN0000290,CUST000579,2024-08-13 19:45:02,9188.64,8398.39,30,Low
LOAN0000291,CUST004832,2023-03-13 11:41:35,5664.74,3955.88,60,Medium
LOAN0000292,CUST011918,2024-10-06 08:20:19,5177.54,1195.92,0,Medium
LOAN0000293,CUST009925,2026-07-10 19:56:14,16041.79,9434.3,0,Low
LOAN0000294,CUST002585,2025-01-05 06:05:23,7818.62,7035.27,0,Medium
LOAN0000295,CUST008197,2023-03-31 13:13:54,11219.0,735.13,0,Medium
LOAN0000296,CUST010605,2025-11-21 07:56:16,3000.0,1780.16,0,Low
LOAN0000297,CUST009060,2024-11-26 04:34:13,23993.95,23503.56,0,Medium
LOAN0000298,CUST001738,2024-02-16 23:04:48,5326.13,992.36,0,Low
LOAN0000299,CUST007576,2024-10-05 05:35:16,17251.85,6523.93,0,Low
LOAN0000300,CUST000061,2023-06-20 19:09:58,9489.26,5992.63,0,High
LOAN0000301,CUST005277,2023-07-19 09:19:18,3000.0,392.62,0,Low
LOAN0000302,CUST003447,2024-12-30 03:37:06,4202.45,3482.35,0,High
LOAN0000303,CUST006559,2024-10-12 17:34:17,6708.48,5465.75,0,Low
LOAN0000304,CUST010631,2026-02-24 01:13:51,14913.94,8507.09,0,Medium
LOAN0000305,CUST006150,2024-01-30 02:28:33,3975.59,1400.54,0,Low
LOAN0000306,CUST008518,2024-04-21 13:55:20,3000.0,268.6,5,Low
LOAN0000307,CUST001001,2023-03-26 08:17:48,5694.41,2779.07,0,Low
LOAN0000308,CUST006742,2023-04-06 15:27:45,3000.0,1157.11,0,Very High
LOAN0000309,CUST005868,2023-04-03 22:22:59,3528.01,2162.88,30,Medium
LOAN0000310,CUST010532,2023-07-08 03:04:01,3000.0,2552.38,0,High
LOAN0000311,CUST010354,2023-04-18 14:07:47,31756.18,20712.15,45,Medium
LOAN0000312,CUST002015,2024-05-13 22:35:56,3913.9,3486.19,0,Medium
LOAN0000313,CUST005220,2023-05-29 14:30:45,11096.94,9964.84,15,Medium
LOAN0000314,CUST006905,2026-04-14 05:50:38,22488.86,15454.92,0,Medium
LOAN0000315,CUST008671,2025-07-26 01:22:46,11216.51,1040.7,0,Low
LOAN0000316,CUST003462,2024-10-03 06:52:54,9965.34,4735.25,0,Low
LOAN0000317,CUST007200,2026-07-24 06:55:17,6009.94,1078.61,0,Low
LOAN0000318,CUST009829,2024-03-05 07:43:01,5749.15,2663.75,0,Medium
LOAN0000319,CUST003454,2023-10-12 20:01:06,8264.76,7430.26,0,Medium
LOAN0000320,CUST008070,2024-01-25 19:26:46,6255.77,844.68,0,High
LOAN0000321,CUST004727,2024-11-27 23:10:15,15233.31,6043.15,5,Medium
LOAN0000322,CUST004861,2023-01-25 04:04:19,12976.21,3305.62,0,Medium
LOAN0000323,CUST004483,2026-07-28 22:17:27,8841.76,3900.54,30,Medium
LOAN0000324,CUST008113,2023-04-15 14:52:04,7377.32,6659.73,0,Low
LOAN0000325,CUST007624,2025-09-20 00:35:47,6692.29,3254.09,0,Low
LOAN0000326,CUST005483,2023-05-07 13:33:10,17232.92,4905.27,45,Medium
LOAN0000327,CUST002447,2025-08-18 03:37:28,17039.99,6690.47,0,Medium
LOAN0000328,CUST008480,2024-12-16 22:22:48,8113.91,1666.87,0,Low
LOAN0000329,CUST004519,2024-09-03 16:17:28,9999.29,6968.0,0,Low
LOAN0000330,CUST008247,2023-04-07 11:59:32,10000.54,7900.01,30,Low
