application_id,customer_id,application_date,requested_amount,risk_score,eligible,underwriting_complete,approved,funded,approved_amount
APP0000056,CUST011476,2025-06-11 14:10:08,6964.74,695,0,0,0,0,0.0
APP0000057,CUST006038,2025-02-21 09:18:25,8755.22,546,0,0,0,0,0.0
APP0000058,CUST009526,2026-02-11 15:37:39,5306.23,585,1,1,1,1,4117.75
APP0000059,CUST000015,2026-08-05 21:41:50,9996.71,662,1,1,1,1,9882.94
APP0000060,CUST001252,2025-03-01 23:30:48,4168.86,653,1,1,1,0,4163.0
APP0000061,CUST000367,2025-03-06 21:17:33,1000.0,608,1,1,1,1,919.18
APP0000062,CUST011969,2026-08-24 10:00:48,2954.04,602,1,1,1,1,2397.97
APP0000063,CUST006358,2026-05-18 12:42:05,2887.3,579,1,0,0,0,0.0
APP0000064,CUST008744,2025-10-05 13:32:56,6633.06,599,1,1,1,1,5203.67
APP0000065,CUST007848,2026-02-15 05:41:43,8553.61,528,1,1,1,1,7952.07
APP0000066,CUST009420,2025-04-16 06:35:45,12657.98,523,1,1,1,1,11098.51
APP0000067,CUST005466,2026-01-07 00:48:52,8119.42,710,1,1,1,0,6929.19
APP0000068,CUST007144,2025-11-08 04:10:44,8604.49,539,1,1,0,0,0.0
APP0000069,CUST001733,2025-06-26 23:38:47,11223.73,759,1,0,0,0,0.0
APP0000070,CUST006357,2026-04-19 03:16:55,19344.5,544,1,0,0,0,0.0
APP0000071,CUST011286,2025-03-20 08:49:43,10729.37,571,1,1,0,0,0.0
APP0000072,CUST008648,2025-07-19 11:59:22,11255.76,546,1,1,1,1,9205.0
APP0000073,CUST003282,2026-05-06 11:56:13,8180.98,561,1,1,1,1,6748.0
APP0000074,CUST006614,2025-11-17 06:56:34,3171.65,613,1,1,1,1,2813.12
APP0000075,CUST000479,2026-06-27 21:56:33,9907.7,572,1,1,1,1,9487.97
APP0000076,CUST009620,2025-05-12 05:54:23,8481.67,652,1,0,0,0,0.0
APP0000077,CUST002684,2025-08-14 10:46:13,6270.36,643,1,1,1,1,5531.69
APP0000078,CUST005792,2025-07-14 12:10:21,2645.02,672,1,1,1,1,2236.06
APP0000079,CUST001671,2026-06-09 09:05:56,10028.6,606,0,0,0,0,0.0
APP0000080,CUST000613,2025-08-12 18:39:31,5474.44,583,1,1,0,0,0.0
APP0000081,CUST001836,2025-07-20 10:43:13,6519.98,682,1,1,1,1,5187.41
APP0000082,CUST009162,2025-12-31 20:14:23,4318.26,646,1,1,1,1,3991.46
APP0000083,CUST004835,2025-04-15 07:06:27,12893.55,642,0,0,0,0,0.0
APP0000084,CUST010559,2025-09-14 03:49:52,7599.05,628,0,0,0,0,0.0
APP0000085,CUST001006,2025-11-08 23:28:30,9113.0,607,1,1,1,1,7835.36
APP0000086,CUST007891,2025-07-30 04:24:54,2401.22,673,1,1,0,0,0.0
APP0000087,CUST002475,2025-01-01 11:51:33,8764.67,751,1,1,1,1,7699.16
APP0000088,CUST001892,2025-06-09 19:41:22,26844.75,578,1,1,1,1,22444.38
APP0000089,CUST004077,2025-02-07 19:29:44,4857.28,499,1,1,0,0,0.0
APP0000090,CUST001982,2025-10-26 17:50:55,7224.35,554,1,1,0,0,0.0
APP0000091,CUST008386,2026-03-12 23:19:53,9492.62,572,0,0,0,0,0.0
APP0000092,CUST001274,2025-04-19 15:45:07,1000.0,539,1,1,0,0,0.0
APP0000093,CUST009885,2026-05-02 08:12:53,12713.27,697,1,1,1,1,10030.17
APP0000094,CUST009786,2026-08-04 12:23:51,2711.08,483,1,1,0,0,0.0
APP0000095,CUST002422,2025-07-28 16:29:05,5442.77,766,1,1,1,1,4938.14
APP0000096,CUST003672,2026-01-13 20:13:46,6977.47,551,1,1,1,1,6201.3
APP0000097,CUST001529,2026-04-04 11:16:56,4926.54,537,1,1,1,1,4240.94
APP0000098,CUST007613,2026-07-04 18:52:09,5159.63,619,0,0,0,0,0.0
APP0000099,CUST006214,2026-04-06 00:09:53,7276.97,649,1,1,1,1,6344.42
APP0000100,CUST000327,2026-04-27 03:38:38,5276.41,484,1,1,0,0,0.0
APP0000101,CUST002550,2025-06-07 05:32:22,7346.38,593,1,1,1,0,5685.05
APP0000102,CUST006596,2026-04-25 09:00:44,14640.97,552,1,1,0,0,0.0
APP0000103,CUST007803,2025-03-10 13:28:33,6063.18,628,1,1,1,1,4857.23
APP0000104,CUST007173,2025-02-01 01:31:44,2442.2,687,1,1,1,1,2183.14
APP0000105,CUST002878,2025-06-16 03:14:02,9553.65,581,1,1,1,1,7300.83
APP0000106,CUST010144,2026-02-25 01:45:26,6689.22,691,1,1,1,0,6208.1
APP0000107,CUST005065,2025-01-27 13:33:34,4268.95,682,1,1,1,0,4199.76
APP0000108,CUST006555,2026-05-21 00:33:11,25539.62,648,1,1,1,1,20635.92
APP0000109,CUST006249,2025-01-25 12:58:09,8486.38,635,0,0,0,0,0.0
APP0000110,CUST001570,2025-08-19 16:44:23,26390.95,598,1,1,1,1,22373.44
APP0000111,CUST007667,2025-12-19 07:44:43,9451.79,564,0,0,0,0,0.0
APP0000112,CUST005881,2025-03-09 20:40:11,4785.69,560,1,1,1,1,3741.34
APP0000113,CUST010717,2025-01-22 06:49:24,6212.08,731,1,1,1,1,6153.82
APP0000114,CUST005364,2026-08-19 21:13:01,4722.0,595,1,1,0,0,0.0
APP0000115,CUST005273,2025-07-22 03:35:01,4333.09,572,1,1,0,0,0.0
APP0000116,CUST009846,2025-12-30 19:56:03,5964.37,689,1,0,0,0,0.0
APP0000117,CUST007298,2025-11-07 18:02:48,9144.46,670,1,0,0,0,0.0
APP0000118,CUST006645,2025-01-15 22:45:30,2714.71,544,0,0,0,0,0.0
APP0000119,CUST001499,2025-07-24 02:20:37,13309.34,685,1,1,0,0,0.0
APP0000120,CUST003894,2025-08-26 04:09:27,5326.88,659,1,1,1,1,5102.55
APP0000121,CUST006118,2026-07-05 12:29:22,2426.52,502,0,0,0,0,0.0
APP0000122,CUST000842,2025-06-23 09:44:52,5389.24,683,1,1,1,1,4743.31
APP0000123,CUST007351,2026-06-21 02:02:28,4637.05,527,1,1,1,0,3559.14
APP0000124,CUST006059,2025-10-04 22:36:44,6890.72,524,1,0,0,0,0.0
APP0000125,CUST009883,2026-04-27 13:20:00,4290.73,627,1,1,0,0,0.0
APP0000126,CUST010445,2025-08-10 17:14:41,2365.35,551,1,0,0,0,0.0
APP0000127,CUST011031,2025-02-28 02:09:23,5745.18,659,1,0,0,0,0.0
APP0000128,CUST007112,2025-12-07 05:38:08,15562.32,643,1,1,0,0,0.0
APP0000129,CUST011199,2025-03-05 20:48:07,8109.11,667,1,1,1,1,6184.55
APP0000130,CUST001236,2025-08-09 02:04:21,5374.75,662,0,0,0,0,0.0
APP0000131,CUST010398,2025-04-26 07:53:03,6232.66,568,1,1,1,1,5517.44
APP0000132,CUST010087,2026-06-24 12:13:05,4450.65,563,1,1,0,0,0.0
APP0000133,CUST011637,2025-06-07 12:40:05,8280.09,549,1,1,1,0,7572.68
APP0000134,CUST011653,2026-05-23 08:51:59,4000.07,554,1,1,1,1,3810.17
APP0000135,CUST008833,2025-02-19 13:38:15,11838.7,631,1,1,0,0,0.0
APP0000136,CUST002988,2025-12-02 16:19:52,13595.91,596,1,0,0,0,0.0
APP0000137,CUST004325,2026-04-05 09:14:28,6430.01,582,1,1,0,0,0.0
APP0000138,CUST000343,2026-07-09 21:25:52,3962.67,626,0,0,0,0,0.0
APP0000139,CUST010593,2025-04-24 14:48:21,6364.45,660,1,1,1,1,5842.1
APP0000140,CUST006216,2025-04-28 15:11:04,5629.14,640,1,1,0,0,0.0
APP0000141,CUST011611,2025-09-27 09:34:42,12876.62,652,1,1,0,0,0.0
APP0000142,CUST003392,2026-03-16 09:12:07,6919.14,645,1,0,0,0,0.0
APP0000143,CUST009697,2025-07-17 23:11:46,7451.21,534,1,1,0,0,0.0
APP0000144,CUST006027,2026-06-02 05:16:54,2707.87,759,1,1,1,1,2455.32
APP0000145,CUST001133,2025-04-07 02:52:59,5672.49,658,0,0,0,0,0.0
APP0000146,CUST003931,2025-08-03 12:16:34,8796.27,629,1,1,1,1,8173.32
APP0000147,CUST008401,2026-03-15 16:03:36,7247.73,680,1,1,0,0,0.0
APP0000148,CUST010547,2025-05-18 06:05:19,9621.16,550,1,1,1,1,9270.24
APP0000149,CUST001777,2025-07-08 10:29:17,18639.42,661,1,1,1,0,14300.3
APP0000150,CUST008290,2026-05-26 16:59:21,7583.28,584,1,1,0,0,0.0
APP0000151,CUST008833,2026-06-16 09:31:11,6190.8,404,1,1,0,0,0.0
APP0000152,CUST000411,2026-02-23 09:55:20,14751.79,484,1,1,0,0,0.0
APP0000153,CUST007791,2026-01-21 02:52:35,10583.27,567,1,1,0,0,0.0
APP0000154,CUST001197,2026-01-03 17:48:48,15762.84,599,1,1,1,0,14852.19
APP0000155,CUST000569,2026-02-01 18:30:39,6601.7,593,1,1,1,0,5263.1
APP0000156,CUST006490,2026-08-14 05:26:00,2870.29,572,1,1,1,0,2668.52
APP0000157,CUST005184,2026-01-26 13:21:04,1157.07,560,0,0,0,0,0.0
APP0000158,CUST006236,2026-01-13 16:55:10,7254.11,623,1,1,1,1,5719.48
APP0000159,CUST011041,2025-05-15 02:01:10,7210.3,622,0,0,0,0,0.0
APP0000160,CUST004409,2025-06-11 15:43:19,6279.37,754,1,1,1,1,5257.48
APP0000161,CUST003054,2025-08-25 05:46:23,2584.14,651,1,1,0,0,0.0
APP0000162,CUST003750,2025-03-02 07:40:43,4170.82,663,1,1,1,1,3783.48
APP0000163,CUST001596,2025-05-12 10:04:11,7884.67,572,1,1,0,0,0.0
APP0000164,CUST011337,2026-08-08 13:55:24,2672.37,678,1,0,0,0,0.0
APP0000165,CUST010188,2026-07-21 20:17:13,3654.74,603,0,0,0,0,0.0
APP0000166,CUST002400,2025-10-29 18:26:51,1655.04,748,1,1,1,0,1351.88
APP0000167,CUST009005,2025-10-01 14:04:48,3094.53,589,1,1,0,0,0.0
APP0000168,CUST008196,2026-07-02 22:01:11,2122.14,716,1,0,0,0,0.0
APP0000169,CUST007313,2026-02-05 15:11:15,4572.33,621,1,1,0,0,0.0
APP0000170,CUST011671,2026-02-21 22:07:17,7611.56,559,1,1,0,0,0.0
APP0000171,CUST000036,2025-06-05 20:32:15,6842.84,713,1,1,1,1,5398.78
APP0000172,CUST007787,2025-09-20 01:30:19,5577.62,563,0,0,0,0,0.0
APP0000173,CUST010502,2025-09-09 23:43:04,3400.04,456,1,1,0,0,0.0
APP0000174,CUST002402,2026-01-30 23:21:45,4941.56,572,0,0,0,0,0.0
APP0000175,CUST008078,2025-03-01 22:37:39,21988.7,569,1,1,0,0,0.0
APP0000176,CUST007802,2025-09-08 08:00:25,4895.29,577,1,1,0,0,0.0
APP0000177,CUST000935,2025-03-12 07:59:50,16457.44,640,1,0,0,0,0.0
APP0000178,CUST004559,2025-12-25 12:43:36,1184.6,506,1,1,0,0,0.0
APP0000179,CUST001152,2025-06-07 06:25:18,9674.47,588,1,1,1,1,8601.29
APP0000180,CUST003594,2026-01-06 03:48:34,3431.39,743,1,1,0,0,0.0
APP0000181,CUST000130,2025-07-11 07:11:10,10011.35,666,1,1,0,0,0.0
APP0000182,CUST006052,2025-10-29 09:25:04,2836.1,563,1,1,0,0,0.0
APP0000183,CUST007996,2026-05-11 01:53:54,2648.02,552,1,0,0,0,0.0
APP0000184,CUST006784,2026-08-08 01:34:20,10419.05,631,0,0,0,0,0.0
APP0000185,CUST011665,2026-06-20 17:25:20,7609.09,635,1,1,1,1,6505.22
APP0000186,CUST011497,2026-03-23 20:43:54,5948.85,636,1,1,0,0,0.0
APP0000187,CUST004141,2025-03-14 16:01:57,3446.84,716,1,1,0,0,0.0
APP0000188,CUST011276,2025-09-18 07:41:51,3448.79,593,1,1,0,0,0.0
APP0000189,CUST008653,2026-07-24 18:18:00,29782.39,664,0,0,0,0,0.0
APP0000190,CUST006456,2026-08-28 00:38:25,22740.16,674,1,1,0,0,0.0
APP0000191,CUST004875,2026-06-08 17:27:47,4344.74,606,1,1,0,0,0.0
APP0000192,CUST008930,2025-11-21 13:48:58,13758.62,570,0,0,0,0,0.0
APP0000193,CUST007141,2025-09-07 08:01:18,6724.82,700,1,1,0,0,0.0
APP0000194,CUST011465,2025-10-23 06:24:45,2765.99,672,1,1,1,1,2179.47
APP0000195,CUST006921,2025-10-28 07:00:36,19508.61,620,1,1,1,1,18624.45
APP0000196,CUST009734,2026-02-07 08:54:35,7055.01,687,1,1,0,0,0.0
APP0000197,CUST001287,2025-10-22 11:49:50,5304.17,669,1,1,1,1,4971.67
APP0000198,CUST003850,2026-07-29 17:01:31,2734.44,648,1,1,1,1,2399.42
APP0000199,CUST011231,2025-08-03 11:44:42,3458.96,693,1,1,0,0,0.0
APP0000200,CUST000019,2025-06-08 15:18:00,11598.67,616,0,0,0,0,0.0
APP0000201,CUST007871,2025-08-28 19:00:45,5913.83,637,1,1,0,0,0.0
APP0000202,CUST006446,2026-06-22 09:25:12,12083.75,584,1,0,0,0,0.0
APP0000203,CUST011641,2026-06-03 10:01:42,5975.31,462,1,1,1,1,4559.11
APP0000204,CUST002066,2025-06-03 14:19:55,2598.23,661,1,1,0,0,0.0
APP0000205,CUST004576,2026-03-03 17:12:23,6925.12,628,1,1,0,0,0.0
APP0000206,CUST005613,2025-10-14 13:44:43,6415.06,629,0,0,0,0,0.0
APP0000207,CUST009870,2026-07-30 11:24:13,5606.38,570,1,1,1,1,5577.68
APP0000208,CUST004238,2026-07-13 23:35:45,10364.64,490,0,0,0,0,0.0
APP0000209,CUST003191,2026-06-30 09:40:25,10042.1,632,1,1,1,1,9851.89
APP0000210,CUST008855,2026-05-31 05:53:55,2062.98,539,1,1,1,1,1629.59
APP0000211,CUST010686,2025-10-16 08:54:42,2013.65,600,1,1,0,0,0.0
APP0000212,CUST000972,2026-05-20 10:39:45,7552.13,427,0,0,0,0,0.0
APP0000213,CUST002609,2026-01-11 20:55:51,6230.57,538,1,1,1,1,4717.16
APP0000214,CUST011452,2025-02-03 08:41:44,6888.52,646,1,1,1,1,6349.33
APP0000215,CUST001825,2025-09-30 05:39:01,8075.71,600,1,1,1,1,7865.06
APP0000216,CUST004248,2025-05-12 16:34:11,15919.08,616,1,1,1,1,11990.62
APP0000217,CUST005254,2025-06-10 09:37:29,5146.96,580,1,1,1,1,4151.53
APP0000218,CUST005078,2026-01-11 10:02:14,5205.39,591,1,1,1,1,3906.87
APP0000219,CUST004013,2026-01-09 20:28:41,6379.09,620,1,1,1,1,4812.28
APP0000220,CUST009072,2025-03-22 08:32:14,7404.03,588,1,1,1,1,5884.18
APP0000221,CUST010028,2025-01-04 22:26:33,4666.54,609,0,0,0,0,0.0
APP0000222,CUST007082,2025-06-11 12:56:59,10706.64,588,1,1,0,0,0.0
APP0000223,CUST005424,2026-05-03 07:26:41,4342.03,539,1,1,0,0,0.0
APP0000224,CUST011820,2025-02-20 09:28:48,5905.54,537,0,0,0,0,0.0
APP0000225,CUST008651,2025-09-28 13:48:23,10933.94,672,1,1,0,0,0.0
APP0000226,CUST008999,2026-02-15 14:53:13,5927.27,597,0,0,0,0,0.0
APP0000227,CUST001159,2025-10-12 05:09:10,1906.63,625,1,1,1,0,1893.38
APP0000228,CUST004176,2026-01-16 05:51:21,23082.52,615,1,0,0,0,0.0
APP0000229,CUST003488,2026-07-02 18:21:24,12301.96,587,1,1,1,1,11940.54
APP0000230,CUST010681,2025-09-22 07:40:13,20181.0,710,1,1,1,1,17128.7
APP0000231,CUST011446,2025-10-30 19:50:25,3563.23,637,0,0,0,0,0.0
APP0000232,CUST003578,2025-09-28 13:53:30,9644.91,606,1,1,0,0,0.0
APP0000233,CUST006358,2026-06-16 17:41:00,3159.79,441,1,1,0,0,0.0
APP0000234,CUST002519,2025-03-29 16:55:58,3735.94,591,1,1,1,1,3570.69
APP0000235,CUST007601,2026-04-28 15:39:25,8866.56,695,1,1,1,1,7264.5
APP0000236,CUST006008,2026-02-26 14:58:17,7735.25,595,1,1,1,1,6104.73
APP0000237,CUST008839,2025-12-31 19:33:32,34019.12,611,1,1,0,0,0.0
APP0000238,CUST011204,2026-04-01 11:44:25,7843.8,695,1,1,0,0,0.0
APP0000239,CUST009622,2025-06-28 19:58:13,3959.13,628,0,0,0,0,0.0
APP0000240,CUST000858,2025-08-14 20:34:53,8802.29,464,1,1,1,1,6772.22
APP0000241,CUST001308,2025-02-24 22:50:37,2381.21,581,0,0,0,0,0.0
APP0000242,CUST011435,2025-05-09 11:50:49,2241.59,665,1,1,1,1,1858.4
APP0000243,CUST006112,2025-08-08 23:05:17,14769.76,592,1,1,1,1,13796.89
APP0000244,CUST009450,2025-11-02 09:26:22,4441.56,698,1,1,1,1,3632.39
APP0000245,CUST006550,2026-05-11 00:28:08,10965.43,698,1,1,1,1,10637.62
APP0000246,CUST004789,2025-02-23 17:33:48,4553.34,572,1,1,1,1,3817.25
APP0000247,CUST010239,2025-06-16 15:08:49,4680.36,577,1,1,1,1,4676.5
APP0000248,CUST000125,2025-12-15 00:19:20,11765.26,655,1,1,1,1,10018.27
APP0000249,CUST006425,2026-02-20 10:42:06,14129.49,543,1,1,0,0,0.0
APP0000250,CUST003789,2026-05-20 04:43:03,2130.0,630,1,1,1,0,1813.38
APP0000251,CUST008201,2025-11-16 15:03:49,7583.19,720,1,1,1,1,7241.71
APP0000252,CUST008133,2026-05-18 17:39:13,1755.35,559,1,1,0,0,0.0
APP0000253,CUST009920,2026-02-20 21:28:51,5451.79,569,1,1,1,1,4755.07
APP0000254,CUST005042,2025-01-15 18:43:07,15077.37,721,1,1,0,0,0.0
APP0000255,CUST006537,2025-03-14 11:32:09,17486.87,628,0,0,0,0,0.0
APP0000256,CUST008003,2026-07-21 10:52:23,2516.53,664,1,1,0,0,0.0
APP0000257,CUST002654,2025-04-21 02:59:34,7135.85,644,1,1,0,0,0.0
APP0000258,CUST002087,2025-04-01 01:59:42,2558.9,495,0,0,0,0,0.0
APP0000259,CUST006341,2025-05-24 01:26:39,3462.39,597,1,1,1,1,2984.32
APP0000260,CUST006937,2026-01-12 19:07:21,5242.14,496,0,0,0,0,0.0
APP0000261,CUST001007,2026-05-15 04:22:22,5337.01,624,1,1,0,0,0.0
APP0000262,CUST009028,2025-01-31 03:23:35,13602.11,561,1,1,0,0,0.0
APP0000263,CUST005448,2025-04-11 09:09:51,17076.6,517,1,1,0,0,0.0
APP0000264,CUST009297,2026-02-13 01:11:13,7311.89,633,1,1,1,1,6377.48
APP0000265,CUST007337,2026-04-20 22:51:34,4584.81,559,1,1,0,0,0.0
APP0000266,CUST002633,2025-05-25 17:47:13,8312.44,620,1,1,0,0,0.0
APP0000267,CUST010219,2025-09-06 19:50:55,6198.45,540,1,1,0,0,0.0
APP0000268,CUST011010,2025-10-06 04:58:47,2115.3,645,1,1,0,0,0.0
APP0000269,CUST007084,2025-05-13 05:43:56,5556.82,567,1,1,0,0,0.0
APP0000270,CUST005300,2025-05-24 00:42:54,6593.24,592,1,1,1,0,5508.2
APP0000271,CUST000296,2025-03-24 22:43:22,8522.32,460,1,1,0,0,0.0
APP0000272,CUST000519,2025-01-07 22:31:25,6226.66,653,1,1,1,0,5454.99
APP0000273,CUST000826,2025-07-27 22:59:15,2826.62,605,1,1,1,1,2793.92
APP0000274,CUST006684,2025-08-24 23:39:15,5141.91,575,1,1,1,1,4983.66
APP0000275,CUST000771,2025-11-03 11:54:36,3836.05,639,0,0,0,0,0.0
APP0000276,CUST003724,2025-03-31 04:18:46,7385.07,511,1,0,0,0,0.0
APP0000277,CUST004965,2025-08-11 12:00:05,4363.13,607,1,1,1,1,3593.53
APP0000278,CUST010979,2025-10-31 21:01:32,5439.78,607,1,1,1,1,5221.24
APP0000279,CUST000140,2025-01-03 17:30:50,23059.97,486,1,1,0,0,0.0
APP0000280,CUST007085,2025-07-05 16:35:10,4845.05,717,1,1,0,0,0.0
APP0000281,CUST003365,2025-06-02 09:28:35,10296.5,549,1,0,0,0,0.0
APP0000282,CUST009372,2025-11-13 15:23:45,5640.47,684,1,1,0,0,0.0
APP0000283,CUST011286,2025-05-01 08:02:29,3270.97,582,1,1,0,0,0.0
APP0000284,CUST004480,2026-01-11 15:50:03,4654.98,636,1,1,1,1,4182.46
APP0000285,CUST002963,2025-02-22 23:29:42,3315.36,591,1,1,1,1,2987.06
APP0000286,CUST002703,2025-11-23 00:08:15,4352.6,551,1,1,1,1,3598.26
APP0000287,CUST007103,2025-11-11 21:21:30,6773.44,597,0,0,0,0,0.0
APP0000288,CUST004354,2026-08-24 10:20:47,4174.21,764,1,1,0,0,0.0
APP0000289,CUST009429,2025-04-04 05:34:00,8005.5,589,1,1,0,0,0.0
APP0000290,CUST008440,2025-05-22 19:12:43,5118.55,620,1,1,0,0,0.0
APP0000291,CUST009623,2026-07-18 18:33:15,2933.35,662,1,1,1,1,2712.52
APP0000292,CUST003301,2025-05-02 10:48:18,6654.49,753,1,1,1,1,5263.54
APP0000293,CUST003677,2025-07-13 12:22:48,1375.47,603,1,1,0,0,0.0
APP0000294,CUST000751,2025-08-18 21:19:46,3228.49,612,1,1,1,1,2956.29
APP0000295,CUST000260,2026-03-11 10:51:30,2813.83,604,1,1,1,0,2500.07
APP0000296,CUST002967,2025-10-04 12:23:59,4802.24,800,1,1,1,1,4313.57
APP0000297,CUST001623,2026-08-04 00:01:43,4241.44,584,1,1,1,1,3624.48
APP0000298,CUST005563,2025-05-02 05:23:20,8241.0,590,1,1,0,0,0.0
APP0000299,CUST004359,2026-04-26 03:59:53,6147.2,578,0,0,0,0,0.0
APP0000300,CUST008617,2025-05-09 07:13:17,19262.94,637,1,0,0,0,0.0
APP0000301,CUST010652,2025-07-01 09:58:41,4605.94,614,0,0,0,0,0.0
APP0000302,CUST003660,2025-02-23 07:00:54,15825.53,579,1,1,1,1,14287.62
APP0000303,CUST005446,2026-02-19 17:06:04,10208.67,572,0,0,0,0,0.0
APP0000304,CUST007637,2025-11-17 14:34:00,3553.57,610,0,0,0,0,0.0
APP0000305,CUST010724,2025-12-31 15:21:38,4837.07,469,1,1,0,0,0.0
APP0000306,CUST007365,2025-11-11 20:16:31,8220.22,661,1,1,0,0,0.0
APP0000307,CUST005287,2025-07-09 06:54:14,2252.46,414,1,1,1,0,2132.2
APP0000308,CUST007211,2025-01-16 12:48:49,14594.96,573,0,0,0,0,0.0
APP0000309,CUST005911,2025-06-26 15:01:42,3033.89,706,1,1,1,1,2949.38
APP0000310,CUST007541,2025-06-21 21:01:46,4521.28,617,1,1,0,0,0.0
APP0000311,CUST006039,2025-04-28 20:29:48,13692.92,537,1,1,0,0,0.0
APP0000312,CUST002091,2025-08-18 06:05:39,9539.39,677,1,1,0,0,0.0
