customer_id,signup_date,segment,country,acquisition_channel
CUST000066,2022-05-08 15:29:57,Mass Market,France,Partner
CUST000067,2024-02-25 02:20:08,Mass Market,Netherlands,Referral
CUST000068,2025-08-23 09:02:45,Mass Market,Germany,Branch
CUST000069,2022-11-13 19:06:24,Mass Market,Belgium,Partner
CUST000070,2024-02-14 00:52:45,Mass Market,Germany,Partner
CUST000071,2022-08-06 05:29:24,Mass Market,Netherlands,Partner
CUST000072,2025-02-21 18:59:51,Mass Market,Germany,Paid
CUST000073,2024-03-06 09:05:14,Mass Market,Germany,Partner
CUST000074,2023-07-07 02:07:06,Mass Market,Germany,Paid
CUST000075,2023-01-15 09:25:06,Mass Market,Netherlands,Paid
CUST000076,2024-08-01 20:15:06,Affluent,Germany,Branch
CUST000077,2025-01-24 22:17:45,Mass Market,Germany,Partner
CUST000078,2026-04-22 04:36:10,Affluent,Netherlands,Organic
CUST000079,2024-01-01 22:01:55,Mass Market,Netherlands,Paid
CUST000080,2022-09-26 16:05:40,Mass Market,France,Branch
CUST000081,2025-10-24 05:42:38,Mass Market,France,Organic
CUST000082,2024-11-18 23:10:54,Mass Market,France,Branch
CUST000083,2025-03-16 20:14:16,Mass Market,France,Branch
CUST000084,2022-06-12 13:30:37,Affluent,Germany,Partner
CUST000085,2023-06-07 06:38:54,Mass Market,Germany,Paid
CUST000086,2025-07-07 20:02:26,Mass Market,Germany,Organic
CUST000087,2025-10-23 12:55:16,Mass Market,Germany,Organic
CUST000088,2023-12-29 16:22:27,Mass Market,Germany,Paid
CUST000089,2025-09-07 13:35:02,Affluent,Germany,Referral
CUST000090,2025-11-08 07:24:40,Mass Market,Germany,Branch
CUST000091,2023-10-10 20:43:56,Mass Market,Netherlands,Organic
CUST000092,2026-02-10 14:27:36,SME,Netherlands,Paid
CUST000093,2023-04-28 02:01:48,SME,France,Paid
CUST000094,2023-02-05 12:58:29,Mass Market,Austria,Paid
CUST000095,2025-02-15 03:10:46,Mass Market,Germany,Paid
CUST000096,2024-11-30 15:58:42,Affluent,Germany,Branch
CUST000097,2022-08-22 15:59:15,Mass Market,Germany,Paid
CUST000098,2025-10-24 08:03:36,Mass Market,France,Organic
CUST000099,2022-12-01 05:54:58,Mass Market,Germany,Partner
CUST000100,2025-09-07 18:59:29,Affluent,Belgium,Organic
CUST000101,2022-01-13 07:25:59,Affluent,Germany,Branch
CUST000102,2025-08-25 07:41:57,Mass Market,Germany,Branch
CUST000103,2025-08-08 17:42:05,Mass Market,France,Organic
CUST000104,2025-07-28 18:27:33,Mass Market,Germany,Partner
CUST000105,2025-01-16 15:08:06,Mass Market,Netherlands,Referral
CUST000106,2024-02-28 11:02:46,Affluent,France,Paid
CUST000107,2025-03-25 00:52:34,Mass Market,Netherlands,Paid
CUST000108,2023-04-09 08:20:11,Mass Market,France,Branch
CUST000109,2025-07-29 09:05:40,Affluent,Germany,Organic
CUST000110,2024-07-18 01:00:04,Mass Market,Germany,Paid
CUST000111,2024-02-07 07:22:20,Affluent,Netherlands,Organic
CUST000112,2024-04-25 08:58:03,Mass Market,Germany,Paid
CUST000113,2024-08-08 22:26:48,Affluent,Germany,Referral
CUST000114,2022-03-04 07:15:43,Mass Market,Germany,Partner
CUST000115,2022-08-22 17:46:26,Mass Market,France,Partner
CUST000116,2023-02-15 10:40:05,Mass Market,Germany,Organic
CUST000117,2022-07-11 11:51:46,Mass Market,Austria,Referral
CUST000118,2024-01-06 00:48:48,Mass Market,Germany,Organic
CUST000119,2025-01-22 13:40:26,Mass Market,Germany,Paid
CUST000120,2024-12-30 04:55:16,Mass Market,Germany,Organic
CUST000121,2024-02-27 16:08:54,Affluent,Germany,Paid
CUST000122,2025-11-30 16:39:01,Mass Market,Germany,Partner
CUST000123,2024-08-03 01:47:40,Mass Market,Netherlands,Paid
CUST000124,2022-05-13 10:02:00,Affluent,Germany,Paid
CUST000125,2025-07-03 01:52:26,Mass Market,Germany,Paid
CUST000126,2024-08-18 17:34:25,Affluent,Germany,Partner
CUST000127,2024-11-27 05:58:36,Mass Market,Germany,Paid
CUST000128,2024-08-03 07:18:02,Mass Market,Austria,Referral
CUST000129,2024-07-14 14:02:03,Mass Market,Germany,Organic
CUST000130,2022-06-01 10:14:58,Affluent,Netherlands,Organic
CUST000131,2024-07-23 23:51:53,Mass Market,Germany,Organic
CUST000132,2025-08-22 02:15:12,Mass Market,Germany,Organic
CUST000133,2023-05-24 04:54:34,SME,Belgium,Paid
CUST000134,2024-10-04 22:41:34,Mass Market,Germany,Organic
CUST000135,2023-08-05 00:26:52,Affluent,Belgium,Organic
CUST000136,2024-01-01 04:35:43,Affluent,Germany,Organic
CUST000137,2026-07-02 03:19:34,SME,Germany,Paid
CUST000138,2022-12-25 18:51:13,Affluent,Belgium,Partner
CUST000139,2023-04-08 09:19:53,SME,Germany,Paid
CUST000140,2023-11-15 01:26:14,Mass Market,Austria,Branch
CUST000141,2026-07-18 17:41:09,Affluent,Austria,Organic
CUST000142,2025-11-27 21:21:30,Affluent,Germany,Paid
CUST000143,2022-02-28 00:09:33,Mass Market,Germany,Organic
CUST000144,2023-01-27 03:31:25,Mass Market,Netherlands,Referral
CUST000145,2025-10-05 20:09:08,SME,Germany,Organic
CUST000146,2022-04-08 11:34:20,Mass Market,Netherlands,Branch
CUST000147,2023-04-16 11:22:22,Mass Market,Germany,Partner
CUST000148,2023-05-06 21:19:49,Mass Market,Germany,Partner
CUST000149,2023-12-28 04:15:53,Mass Market,Germany,Paid
CUST000150,2025-01-11 17:23:09,Affluent,Netherlands,Paid
CUST000151,2022-07-31 03:23:36,Mass Market,Netherlands,Organic
CUST000152,2024-07-20 08:35:10,Mass Market,France,Branch
CUST000153,2024-04-24 09:15:42,Affluent,Germany,Referral
CUST000154,2025-08-03 16:16:02,Mass Market,Germany,Organic
CUST000155,2026-07-24 11:46:40,Affluent,Germany,Organic
CUST000156,2025-01-15 17:34:25,Mass Market,Germany,Paid
CUST000157,2023-11-16 03:50:00,Affluent,Germany,Referral
CUST000158,2023-11-11 11:29:31,SME,France,Paid
CUST000159,2023-11-30 19:50:54,Mass Market,Germany,Partner
CUST000160,2025-09-23 01:00:35,Mass Market,Germany,Organic
CUST000161,2023-06-22 01:44:41,Mass Market,France,Branch
CUST000162,2022-10-07 04:17:21,Mass Market,Germany,Organic
CUST000163,2023-07-13 22:26:49,Affluent,Austria,Paid
CUST000164,2022-02-07 23:23:24,Mass Market,Germany,Branch
CUST000165,2022-06-27 11:17:22,Mass Market,Germany,Referral
CUST000166,2025-07-14 00:51:18,Mass Market,Belgium,Paid
CUST000167,2025-04-22 18:50:09,Mass Market,France,Referral
CUST000168,2025-03-11 00:01:06,Affluent,Netherlands,Organic
CUST000169,2024-02-12 06:12:34,Mass Market,Germany,Organic
CUST000170,2025-04-13 22:07:26,Mass Market,Germany,Organic
CUST000171,2022-09-27 15:30:50,Mass Market,France,Organic
CUST000172,2026-02-14 20:08:48,Affluent,Germany,Partner
CUST000173,2026-04-18 10:07:34,Mass Market,France,Paid
CUST000174,2022-09-12 15:58:48,Mass Market,Germany,Paid
CUST000175,2024-04-11 12:51:40,Mass Market,Germany,Referral
CUST000176,2025-03-10 05:56:38,Mass Market,Germany,Paid
CUST000177,2024-04-08 16:28:29,SME,Netherlands,Organic
CUST000178,2024-01-16 23:21:32,Mass Market,Germany,Paid
CUST000179,2022-10-05 21:50:20,Mass Market,Austria,Referral
CUST000180,2023-09-30 01:37:11,Affluent,Germany,Paid
CUST000181,2023-02-04 05:12:45,Mass Market,Germany,Branch
CUST000182,2023-05-20 03:04:37,Mass Market,Germany,Referral
CUST000183,2025-02-17 03:32:24,Mass Market,France,Referral
CUST000184,2024-11-19 19:58:47,Mass Market,Netherlands,Referral
CUST000185,2024-10-12 05:34:42,Affluent,Germany,Partner
CUST000186,2023-08-28 22:48:59,Affluent,Germany,Branch
CUST000187,2026-05-24 14:32:38,Affluent,Netherlands,Partner
CUST000188,2022-05-27 13:12:57,Affluent,Germany,Paid
CUST000189,2023-07-27 19:28:57,Mass Market,France,Organic
CUST000190,2023-07-21 17:08:13,Mass Market,Netherlands,Referral
CUST000191,2026-05-28 07:01:46,Mass Market,Germany,Paid
CUST000192,2023-09-05 09:25:23,SME,France,Referral
CUST000193,2026-02-28 03:31:33,Affluent,Netherlands,Branch
CUST000194,2024-04-07 17:59:41,Mass Market,Germany,Paid
CUST000195,2025-03-15 21:50:52,Mass Market,Germany,Paid
CUST000196,2024-02-04 19:14:55,Affluent,Germany,Organic
CUST000197,2023-03-21 12:49:47,Affluent,Netherlands,Paid
CUST000198,2025-07-01 18:59:58,Affluent,France,Partner
CUST000199,2026-06-09 11:06:34,Mass Market,Germany,Paid
CUST000200,2023-03-17 14:43:32,Mass Market,Germany,Paid
CUST000201,2025-07-26 01:42:58,Mass Market,Germany,Paid
CUST000202,2023-03-13 15:01:33,Mass Market,Germany,Organic
CUST000203,2025-04-13 15:22:10,SME,Germany,Organic
CUST000204,2025-08-12 05:15:19,Mass Market,Germany,Organic
CUST000205,2024-01-22 07:58:42,Mass Market,Germany,Referral
CUST000206,2025-05-17 03:06:34,Mass Market,France,Organic
CUST000207,2023-04-01 04:30:33,Mass Market,France,Organic
CUST000208,2022-05-13 12:17:06,Mass Market,Germany,Paid
CUST000209,2022-06-11 03:58:35,Mass Market,France,Partner
CUST000210,2024-01-18 10:10:04,Affluent,Germany,Referral
CUST000211,2026-02-18 03:37:44,Mass Market,Germany,Paid
CUST000212,2022-08-02 07:24:13,Mass Market,Austria,Partner
CUST000213,2024-02-02 01:23:27,Mass Market,France,Referral
CUST000214,2025-03-23 03:23:54,Mass Market,Germany,Branch
CUST000215,2022-12-05 08:26:13,Affluent,Germany,Partner
CUST000216,2025-04-21 13:01:22,Affluent,France,Partner
CUST000217,2023-05-27 13:25:38,Mass Market,Germany,Organic
CUST000218,2025-09-14 01:56:18,SME,Austria,Paid
CUST000219,2024-08-26 10:55:22,Affluent,Germany,Branch
CUST000220,2024-07-03 10:17:42,Mass Market,Germany,Organic
CUST000221,2022-10-23 13:32:17,Mass Market,France,Paid
CUST000222,2024-02-14 11:31:36,Mass Market,France,Partner
CUST000223,2025-12-03 06:13:04,Affluent,Germany,Branch
CUST000224,2022-02-02 15:27:31,Mass Market,Austria,Organic
CUST000225,2025-06-22 05:52:18,Mass Market,Belgium,Referral
CUST000226,2024-04-03 21:34:09,Affluent,Germany,Organic
CUST000227,2025-04-17 22:36:34,Affluent,Germany,Referral
CUST000228,2025-01-14 00:49:21,Mass Market,Germany,Branch
CUST000229,2023-12-24 11:01:46,Affluent,France,Referral
CUST000230,2023-06-01 02:11:50,Mass Market,France,Branch
CUST000231,2024-11-14 20:38:56,Affluent,Germany,Branch
CUST000232,2022-08-23 10:55:10,Mass Market,Austria,Branch
CUST000233,2024-09-03 14:40:59,Mass Market,Germany,Paid
CUST000234,2024-12-22 13:02:39,SME,Netherlands,Paid
CUST000235,2024-11-17 06:17:27,Mass Market,Belgium,Organic
CUST000236,2022-05-22 04:34:54,Mass Market,Germany,Organic
CUST000237,2025-06-20 12:28:27,Mass Market,Germany,Partner
CUST000238,2023-11-27 05:31:09,Mass Market,Germany,Organic
CUST000239,2025-08-08 16:10:47,Mass Market,Belgium,Branch
CUST000240,2022-03-11 13:53:36,Mass Market,Germany,Organic
CUST000241,2022-10-28 01:13:49,Affluent,Belgium,Organic
CUST000242,2024-04-05 22:51:48,Affluent,Germany,Organic
CUST000243,2022-11-11 17:05:58,Mass Market,Germany,Organic
CUST000244,2023-07-06 12:40:14,Mass Market,Belgium,Organic
CUST000245,2025-01-09 12:31:06,Affluent,Germany,Partner
CUST000246,2022-08-30 15:27:59,Mass Market,Netherlands,Organic
CUST000247,2025-02-07 02:51:49,Mass Market,Germany,Referral
CUST000248,2022-06-22 21:21:15,Mass Market,Germany,Paid
CUST000249,2022-10-20 21:49:51,Mass Market,Germany,Partner
CUST000250,2025-08-19 16:53:42,Mass Market,Germany,Partner
CUST000251,2022-10-13 05:33:16,Affluent,Netherlands,Organic
CUST000252,2023-05-17 14:06:38,SME,Germany,Organic
CUST000253,2026-03-27 19:13:12,Mass Market,Germany,Referral
CUST000254,2026-07-13 18:01:37,Mass Market,Germany,Partner
CUST000255,2024-08-29 12:49:17,Mass Market,France,Organic
CUST000256,2024-01-18 10:44:49,Mass Market,Netherlands,Partner
CUST000257,2023-08-03 23:11:29,Affluent,France,Paid
CUST000258,2024-10-21 00:28:14,Mass Market,Austria,Organic
CUST000259,2024-09-15 00:15:24,SME,Germany,Organic
CUST000260,2023-05-08 19:50:59,Mass Market,Germany,Referral
CUST000261,2022-02-08 03:04:25,Mass Market,Germany,Paid
CUST000262,2022-09-11 07:19:26,Mass Market,Germany,Paid
CUST000263,2026-05-22 17:03:50,Mass Market,France,Organic
CUST000264,2023-12-01 03:43:13,Affluent,Netherlands,Organic
CUST000265,2024-03-17 09:52:20,Mass Market,Germany,Organic
CUST000266,2024-02-21 00:05:30,Mass Market,Belgium,Paid
CUST000267,2025-08-01 17:35:57,Mass Market,Germany,Referral
CUST000268,2022-04-19 14:34:37,Mass Market,France,Referral
CUST000269,2022-05-19 07:47:21,Affluent,Germany,Organic
CUST000270,2023-04-07 05:11:53,Mass Market,France,Organic
CUST000271,2024-03-24 16:37:31,Mass Market,Germany,Organic
CUST000272,2025-01-27 02:51:55,Mass Market,Austria,Referral
CUST000273,2024-03-31 11:05:24,Mass Market,Austria,Paid
CUST000274,2024-01-08 15:11:33,Mass Market,Germany,Referral
CUST000275,2026-04-18 01:05:59,Mass Market,Germany,Paid
CUST000276,2022-09-27 05:22:05,Mass Market,France,Partner
CUST000277,2024-08-13 22:18:11,Mass Market,France,Partner
CUST000278,2024-06-25 15:11:38,Mass Market,France,Partner
CUST000279,2024-03-02 16:10:57,Affluent,France,Paid
CUST000280,2025-09-12 07:16:12,Mass Market,Belgium,Organic
CUST000281,2023-03-23 09:11:57,Mass Market,France,Paid
CUST000282,2026-05-14 16:59:50,Mass Market,Germany,Branch
CUST000283,2023-07-09 09:12:02,Mass Market,Belgium,Organic
CUST000284,2024-06-30 05:56:23,Affluent,Germany,Partner
CUST000285,2024-05-20 13:32:31,Mass Market,Germany,Branch
CUST000286,2025-11-21 19:53:14,Mass Market,Austria,Partner
CUST000287,2024-01-04 20:38:20,Affluent,Germany,Paid
CUST000288,2023-04-21 18:46:54,Affluent,Germany,Organic
CUST000289,2022-02-06 03:14:58,Affluent,France,Referral
CUST000290,2023-09-01 01:40:51,Mass Market,Belgium,Branch
CUST000291,2025-10-13 13:26:32,Mass Market,Germany,Branch
CUST000292,2022-01-17 13:55:01,Mass Market,Germany,Organic
CUST000293,2026-02-07 09:08:22,Mass Market,Germany,Branch
CUST000294,2024-06-26 14:33:55,Mass Market,Germany,Paid
CUST000295,2022-08-23 11:54:55,Affluent,Germany,Partner
CUST000296,2023-05-21 05:51:07,Mass Market,Germany,Organic
CUST000297,2024-07-15 08:21:44,Mass Market,Austria,Organic
CUST000298,2023-06-12 20:05:43,Mass Market,France,Partner
CUST000299,2022-07-01 12:55:38,Mass Market,Belgium,Paid
CUST000300,2025-01-18 12:48:06,Mass Market,Belgium,Branch
CUST000301,2025-01-28 23:39:01,Affluent,Austria,Organic
CUST000302,2022-07-18 18:11:09,Mass Market,Netherlands,Referral
CUST000303,2023-04-16 05:20:57,Affluent,Germany,Paid
CUST000304,2023-02-12 18:08:44,Mass Market,Belgium,Organic
CUST000305,2025-01-07 13:18:41,Affluent,France,Organic
CUST000306,2025-05-06 01:18:04,Mass Market,Germany,Referral
CUST000307,2025-04-30 12:50:23,Affluent,Germany,Referral
CUST000308,2026-04-19 14:36:40,Affluent,Germany,Organic
CUST000309,2025-07-09 04:17:11,Mass Market,Germany,Paid
CUST000310,2023-06-21 04:13:28,Mass Market,Netherlands,Paid
CUST000311,2022-06-30 03:25:43,Affluent,Germany,Partner
CUST000312,2024-10-24 16:23:14,Mass Market,Germany,Partner
CUST000313,2026-03-12 13:43:23,Affluent,Germany,Referral
CUST000314,2026-06-19 11:01:57,SME,Belgium,Organic
CUST000315,2023-01-20 22:01:37,Affluent,Germany,Organic
CUST000316,2023-01-31 08:29:01,Mass Market,Germany,Organic
CUST000317,2022-03-04 13:17:27,Mass Market,Netherlands,Branch
CUST000318,2022-08-25 04:34:02,SME,Belgium,Paid
CUST000319,2024-07-16 17:07:11,Mass Market,Germany,Organic
CUST000320,2024-07-03 06:07:19,Mass Market,France,Referral
CUST000321,2023-09-13 04:22:09,Mass Market,Germany,Partner
CUST000322,2023-06-03 05:53:30,Affluent,Austria,Paid
CUST000323,2025-10-19 09:48:10,Mass Market,France,Organic
CUST000324,2024-02-09 04:14:29,Mass Market,Netherlands,Referral
CUST000325,2025-09-13 09:30:54,Mass Market,Germany,Partner
CUST000326,2026-05-30 11:45:57,Affluent,France,Organic
CUST000327,2023-06-15 06:08:58,Mass Market,Germany,Organic
CUST000328,2022-12-05 23:28:58,Affluent,Germany,Organic
CUST000329,2026-05-13 05:56:48,Affluent,France,Partner
CUST000330,2024-11-27 10:30:06,SME,Netherlands,Organic
CUST000331,2023-05-02 09:57:03,Affluent,Germany,Paid
CUST000332,2024-11-05 17:59:51,Mass Market,Belgium,Paid
CUST000333,2024-05-11 04:12:44,Mass Market,Germany,Branch
CUST000334,2026-02-23 01:11:44,Mass Market,France,Paid
CUST000335,2023-03-04 23:22:01,SME,Germany,Paid
CUST000336,2026-07-16 14:12:32,Mass Market,Germany,Paid
CUST000337,2026-04-15 01:33:22,Mass Market,Belgium,Partner
CUST000338,2022-10-30 03:12:34,Affluent,Germany,Branch
CUST000339,2024-06-10 10:31:02,Mass Market,Belgium,Branch
CUST000340,2022-03-17 02:10:23,Affluent,Germany,Paid
CUST000341,2023-05-15 14:09:52,Mass Market,France,Paid
CUST000342,2023-12-29 11:34:29,Mass Market,Germany,Paid
CUST000343,2026-06-09 19:00:43,Mass Market,France,Referral
CUST000344,2026-07-18 06:02:47,Mass Market,Belgium,Partner
CUST000345,2022-09-11 08:59:41,Mass Market,France,Paid
CUST000346,2026-01-30 21:13:31,Affluent,Germany,Paid
CUST000347,2022-06-02 00:47:30,Mass Market,Netherlands,Organic
CUST000348,2025-06-05 16:08:33,Mass Market,Netherlands,Partner
CUST000349,2025-11-14 21:57:01,Affluent,Germany,Organic
CUST000350,2026-01-29 09:43:15,Affluent,France,Paid
CUST000351,2023-01-09 13:18:55,Mass Market,France,Organic
CUST000352,2026-02-02 20:13:36,SME,Netherlands,Organic
CUST000353,2022-07-13 22:04:54,Mass Market,Germany,Organic
CUST000354,2024-05-17 12:44:53,Mass Market,Germany,Referral
CUST000355,2024-02-25 01:54:49,Mass Market,Austria,Partner
CUST000356,2023-06-13 05:36:03,Affluent,France,Paid
CUST000357,2022-02-06 23:23:51,Mass Market,Germany,Paid
CUST000358,2025-07-14 19:18:53,Mass Market,Austria,Branch
CUST000359,2023-07-16 02:18:02,Affluent,Germany,Branch
CUST000360,2025-01-11 07:08:35,Mass Market,Germany,Partner
CUST000361,2023-11-17 21:18:18,Mass Market,Netherlands,Partner
CUST000362,2023-09-17 18:08:14,Affluent,Netherlands,Referral
CUST000363,2026-01-21 21:16:57,Mass Market,Austria,Partner
CUST000364,2022-06-07 22:45:30,Mass Market,France,Organic
CUST000365,2025-05-16 14:58:52,Mass Market,Germany,Paid
CUST000366,2025-06-02 15:10:24,SME,Germany,Organic
CUST000367,2023-09-28 08:17:49,Mass Market,Germany,Referral
CUST000368,2023-03-15 20:00:56,Mass Market,Austria,Partner
CUST000369,2022-01-09 20:57:43,Mass Market,Germany,Branch
CUST000370,2026-04-16 08:26:17,Mass Market,France,Organic
CUST000371,2026-05-04 14:34:05,SME,Germany,Paid
CUST000372,2022-02-23 08:31:35,Mass Market,Germany,Partner
CUST000373,2022-07-25 06:01:49,Mass Market,Germany,Referral
CUST000374,2022-04-24 02:22:22,Mass Market,France,Referral
CUST000375,2025-10-21 14:53:21,Mass Market,Germany,Organic
CUST000376,2026-01-31 06:37:22,Mass Market,Austria,Branch
CUST000377,2022-09-14 06:59:34,SME,Belgium,Branch
CUST000378,2025-06-02 13:09:39,Affluent,Germany,Branch
CUST000379,2022-10-27 17:40:43,Mass Market,Belgium,Partner
CUST000380,2023-09-06 23:21:45,Mass Market,Germany,Referral
CUST000381,2024-09-29 04:01:57,Mass Market,Germany,Organic
CUST000382,2026-01-02 06:25:32,Mass Market,Germany,Organic
CUST000383,2022-03-16 21:07:33,Mass Market,Netherlands,Organic
CUST000384,2022-11-25 10:31:48,Mass Market,France,Paid
CUST000385,2023-04-15 00:14:59,Affluent,Germany,Branch
CUST000386,2023-06-03 20:40:06,Affluent,Netherlands,Partner
CUST000387,2026-07-27 16:51:42,Mass Market,Netherlands,Paid
CUST000388,2025-07-23 19:42:04,SME,Netherlands,Referral
CUST000389,2026-06-13 21:27:02,Mass Market,France,Partner
CUST000390,2024-04-14 20:11:26,Mass Market,Netherlands,Paid
CUST000391,2024-04-17 05:44:32,Affluent,France,Partner
CUST000392,2023-12-27 03:28:02,Mass Market,Germany,Paid
CUST000393,2022-08-29 14:19:08,Mass Market,Netherlands,Partner
CUST000394,2026-04-12 06:29:56,Affluent,Germany,Referral
CUST000395,2022-01-24 07:14:07,Mass Market,Netherlands,Paid
CUST000396,2022-10-19 09:26:56,Affluent,France,Paid
CUST000397,2023-01-19 23:38:13,Mass Market,Germany,Partner
CUST000398,2022-08-09 09:45:43,Affluent,Germany,Branch
CUST000399,2025-02-07 01:05:14,Mass Market,France,Paid
CUST000400,2026-06-09 16:28:05,Mass Market,Belgium,Referral
CUST000401,2022-07-23 16:53:41,Mass Market,Belgium,Partner
CUST000402,2023-05-11 19:21:52,Affluent,France,Organic
CUST000403,2024-04-26 14:00:26,Mass Market,Germany,Paid
CUST000404,2026-03-31 18:48:53,Affluent,Germany,Organic
CUST000405,2025-03-06 19:21:46,Mass Market,Netherlands,Organic
CUST000406,2025-07-05 01:35:49,Mass Market,Germany,Organic
CUST000407,2024-08-29 15:02:50,Mass Market,Netherlands,Partner
CUST000408,2023-11-29 06:48:43,Mass Market,Germany,Partner
CUST000409,2022-12-01 00:35:50,SME,Germany,Paid
CUST000410,2025-12-16 03:12:27,Mass Market,France,Paid
CUST000411,2025-09-06 11:54:32,Mass Market,France,Paid
CUST000412,2022-02-11 23:15:57,Mass Market,France,Branch
CUST000413,2025-04-11 03:51:26,Mass Market,Germany,Branch
CUST000414,2022-05-22 02:19:33,Mass Market,Netherlands,Referral
CUST000415,2025-05-20 13:57:00,Affluent,Germany,Organic
CUST000416,2025-10-12 23:52:33,Mass Market,Netherlands,Branch
CUST000417,2022-08-08 03:05:07,Mass Market,France,Referral
CUST000418,2023-12-27 08:57:56,Mass Market,Germany,Organic
CUST000419,2022-07-26 21:59:33,Mass Market,France,Paid
CUST000420,2024-08-06 11:54:02,Mass Market,France,Paid
CUST000421,2026-03-31 21:13:48,Mass Market,Germany,Referral
CUST000422,2022-05-16 05:08:00,Mass Market,France,Paid
CUST000423,2023-10-27 18:01:03,Affluent,Germany,Organic
CUST000424,2026-06-16 01:22:48,SME,Belgium,Organic
CUST000425,2023-05-19 04:28:08,SME,Germany,Paid
CUST000426,2022-08-10 01:35:31,Affluent,Germany,Partner
CUST000427,2024-03-27 21:54:02,Mass Market,Netherlands,Paid
CUST000428,2024-04-29 23:58:30,Affluent,Germany,Organic
